root,root_base,canonical_root,is_homonym,variant_no,examples
∅,∅,ем,0,,вынуть; вынуться
а,а,а,0,,а; аканье; акать; акающий
август,август,август,0,,август; августовский
авось,авось,авось,0,,авоська; авось
ага,ага,ага,0,,ага
агу,агу,агу,0,,агу
ад,ад,ад,0,,ад; адский; адов
адрес,адрес,адрес,0,,адрес; адресовать; адресат; адресный; адресоваться; адресок; переадресовать; адресант; адресантка; адресование
аз,аз,аз,0,,аз
аист,аист,аист,0,,аист; аистёнок; аистник; аистовый
ай,ай,ай,0,,ай; айканье; айкать; айкнуть
ал,ал,ал,0,,алый; алеть; заалеть; аленький; алеться; алёхонький; заалеться; поалеть
алабер,алабер,алабер,0,,безалаберный; безалаберность; безалаберщина
алк,алк,алк,0,,алкать; алкание; взалкать
алмаз,алмаз,алмаз,0,,алмаз; алмазный
алтар,алтар,алтар,0,,алтарь; алтарный
алтын,алтын,алтын,0,,алтын; алтынник; алтынница; алтынничать; алтынный
алч,алч,алк,0,,алчный; алчность; алчба; алчущий
аляп,аляп,аляп,0,,аляповатый; аляповатость
амбар,амбар,амбар,0,,амбар; амбарный; амбаришко; амбарище; амбарушка; амбарчик
ангел,ангел,ангел,0,,ангел; ангельский; ангелочек; ангельчик
апостол,апостол,апостол,0,,апостол; апостольский; апостолический; апостольство
апрел,апрел,апрел,0,,апрель; апрельский
аптек,аптек,аптек,0,,аптека; аптекарский; аптекарь; аптекарша
аптеч,аптеч,аптек,0,,аптечный; аптечка
арап,арап,арап,0,,арап; арапка; арапский; арапчик; арапчонок
арбуз,арбуз,арбуз,0,,арбуз; арбузный; арбузик; арбузище
арест,арест,арест,0,,арест; арестовать; арестовывать; арестант; арестованный; арестантский; арестовываться; арестантка; арестный; заарестовать
аркан,аркан,аркан,0,,аркан; арканить; арканный; заарканивать; заарканить
арм,арм,арм,0,,армия; армейский; армеец
армяк,армяк,армяк,0,,армяк
армяч,армяч,армяк,0,,армячишко; армячный; армячок
артел,артел,артел,0,,артель; артельный; артельщик; артельщица
аршин,аршин,аршин,0,,аршин; аршинный; аршинник; аршинничать; аршинчик
атак,атак,атак,0,,атака; атаковать; атаковаться
атаман,атаман,атаман,0,,атаман; атаманец; атаманить; атамановец; атаманский; атаманство; атаманствовать; атаманша; атаманщина
ату,ату,ату,0,,ату; атуканье; атукать; атукнуть
ау,ау,ау,0,,аукнуться; аукаться; ау; ауканье; аукать; аукнуть
ах,ах,ах,0,,ахнуть; ахать; аховый; ах; аханье; ахоньки; заахать; поахать; проахать; разахаться
ба-2,ба,ба-2,0,2,побаиваться
ба(j)-1,ба(j),ба(j)-1,0,1,обаяние; обаятельный; байка (присказка); басня; прибаутка; бай; убаюкивать; баюкать; убаюкать; баиньки
баб,баб,баб,0,,бабушка; баба; бабка; бабочка; бабий; бабушкин; бабуля; бабуся; бабник; прабабушка
бав,бав,бав,0,,добавить; добавлять; избавиться; забавный; прибавить; избавить; добавка; забава; вдобавок; добавление
багаж,багаж,багаж,0,,багаж; багажник; багажный
багор,багор,багор,0,,багор; багорик; багорный; багорок; багорщик
багр-1,багр,багр-1,1,1,багровый (о цвете); побагроветь; багроветь; багряный; обагрить; багрение; багреть; багрец; багрецовый; багрить
багр-2,багр,багор,1,2,багровый (от багор); багреный; багренье; багрильщик; багрить; багрище; багровище; забагривать; забагрить; набагривать
бад,бад,бад,0,,бадья; бадеечка; бадеечный; бадейка; бадейный; бадейщик
бадр,бадр,бадр,0,,подбадривать; взбадривать; взбадриваться
базар,базар,базар,0,,базар; базарный; базарить; разбазаривание; разбазаривать; разбазарить; разбазариваться
байбак,байбак,байбак,0,,байбак
байбач,байбач,байбак,0,,байбачий
байдар,байдар,байдар,0,,байдарка; байдара; байдарный; байдарочный
байк,байк,байк,0,,байка (ткань); байковый
бак,бак,бак,0,,бак; баковый
баклуш,баклуш,баклуш,0,,баклуши; баклушничать
бал-1,бал,бал-1,1,1,побаливать; баливать; отбаливать; разбаливаться
бал-2,бал,бал-2,1,2,баловать; баловаться; избаловать; баловство; баловень; избалованный; побаловать; побаловаться; балованный; баловливый
балабол,балабол,балабол,0,,балаболка; балаболить
балабош,балабош,балабол,0,,балабошка
балаган,балаган,балаган,0,,балаган; балаганчик; балаганный; балаганить; балаганничать; балаганщик; балаганщина; балаганщица
балагур,балагур,балагур,0,,балагур; балагурить; балагурный; балагурство; побалагурить
балак,балак,балак,0,,балакать; балаканье
балала(j),балала(j),балала(j),0,,балалайка; балалаечник; балалаечка; балалаечница; балалаечный; балалайщик
баламут,баламут,баламут,0,,взбаламутить; баламут; баламутить; баламутиться; баламутица; баламутка; баламутный; взбаламутиться; забаламутить; набаламутить
баламуч,баламуч,баламут,0,,взбаламученный
баланд,баланд,баланд,0,,баланда
балахон,балахон,балахон,0,,балахон; балахонный; балахончик
балбес,балбес,балбес,0,,балбес; балбесничать
балд,балд,балд,0,,обалдеть; балда; набалдашник; обалдение; обалделый; обалдуй; обалдевать
балк,балк,балк,0,,балка
балмош,балмош,балмош,0,,взбалмошный
балоч,балоч,балк,0,,балочный
балт,балт,балт,0,,взбалтывать; выбалтывать; взбалтывание; взбалтываться; выбалтывание; выбалтываться; добалтываться; забалтывать; забалтываться; набалтывать
баляс,баляс,баляс,0,,балясина; балясинка; балясник; балясничать; балясы
бан,бан,бан,0,,баня; банный; банька; предбанник; банщик; банить; банник; банщица
банд,банд,банд,0,,бандит; банда; бандитский; бандитизм; бандитка
банк,банк,банк,0,,банка
баноч,баноч,банк,0,,баночка; баночный
бант,бант,бант,0,,бант; бантик
бар,бар,бар,0,,барышня; барин; барский; барыня; барство; барственный; барчук; барщина; барич; барственность
барабан,барабан,барабан,0,,барабан; барабанный; барабанить; барабанщик; забарабанить; побарабанить; барабанчик; отбарабанить; барабанщица; пробарабанить
баран,баран,баран,0,,баран; баранина; бараний; баранец; баранинка; баранчик
баранк,баранк,баранк,0,,баранка
бараноч,бараноч,баранк,0,,бараночник; бараночница; бараночный
барахл,барахл,барахл,0,,барахло; барахлить; барахлишко; набарахлить
барахол,барахол,барахл,0,,барахолка; барахольный; барахольщик; барахольщица
барахт,барахт,барахт,0,,барахтаться; барахтанье; барахты; побарахтаться
бараш,бараш,баран,0,,барашек; барашковый
барбос,барбос,барбос,0,,барбос; барбоска
барвинк,барвинк,барвинк,0,,барвинковый
барвинок,барвинок,барвинк,0,,барвинок
барвиноч,барвиноч,барвинк,0,,барвиночек
бард,бард,бард,0,,барда; бардовый; бардяной
барж,барж,барж,0,,баржа; баржевой; баржевый; баржонка
барс,барс,барс,0,,барс; барсёнок; барсовый
барсук,барсук,барсук,0,,барсук; барсуковый
барсуч,барсуч,барсук,0,,барсучий; барсучонок
бархат,бархат,бархат,0,,бархатный; бархат; бархатистый; бархатцы; бархатец; бархатистость; бархатка; бархатник; бархатность
бархот,бархот,бархат,0,,бархотка
барщ,барщ,барщ,0,,перебарщивать
барыш,барыш,барыш,0,,барыш; барышник; барышничать; барышнический; барышничество; барышок; выбарышничать; набарышничать; побарышничать
бас,бас,бас,0,,бас; пробасить; басить; басовый; басовитый; басок; басистый; забасить
баст,баст,баст,0,,забастовка; бастовать; забастовочный; забастовать; бастующий; забастовщик; баста; забастовщица
басурман,басурман,басурман,0,,басурман; басурманка; басурманский; басурманство; басурманщина; обасурманить; обасурманиться
бат,бат,бат,0,,батюшка; батя; батька; батенька; батюшкин
батог,батог,батог,0,,батог
батож,батож,батог,0,,батожок; батожьё
батон,батон,батон,0,,батон; батончик
батрак,батрак,батрак,0,,батрак
батрац,батрац,батрак,0,,батрацкий
батрач,батрач,батрак,0,,батрачить; батраческий; батрачество; батрачий; батрачка; батрачонок
бах,бах,бах,0,,бах; баханье; бахать; бахаться; бахнуть; бахнуться
бахром,бахром,бахром,0,,бахрома; бахромчатый; бахромка; бахромный; бахромочка; бахромщик; бахромщица
бац,бац,бац,0,,бац; бацать; бацаться; бацнуть; бацнуться
бач,бач,бак,0,,бачок
башен,башен,башен,0,,башенка; башенный; подбашенный
башк,башк,башк,0,,башка; башковитый; башковитость
башмак,башмак,башмак,0,,башмак
башмач,башмач,башмак,0,,башмачок; башмачник; башмачница; башмачный
башн,башн,башен,0,,башня
баян,баян,баян,0,,баян; баянист
бв,бв,бв,0,,забвение; забвенный
бд,бд,бд,0,,снабдить; бдительность; бдительный; бдение; бдеть; снабдиться
бег,бег,бег,0,,бегать; побег; избегать; бег; прибегать; убегать; сбегать; забегать; бегом; бегство
бед,бед,бед,0,,победа; бедный; беда; победить; убедиться; убедить; победитель; бедность; убедительный; бедствие
бедёр,бедёр,бедёр,0,,подбедёрок
бедр,бедр,бедёр,0,,бедро; бедренный; набедренный; набедренник
беж,беж,бег,0,,бежать; побежать; избежать; убежать; неизбежный; сбежать; беженец; прибежать; пробежать; выбежать
бежд,бежд,бед,0,,убеждение; убеждать; побеждать; убеждаться; предубеждение; разубеждать; переубеждать; переубеждаться; побеждённый; предубеждать
безмен,безмен,безмен,0,,безмен; безменный
бекас,бекас,бекас,0,,бекас; бекасик; бекасинник; бекасиный; бекасница
бел,бел,бел,0,,белый; белок; белка; белеть; пробел; беленький; белизна; побелеть; белковый; бельевой
белен,белен,белен,0,,взбелениться; белена; беленной; взбеленить
бер,бер,бер,0,,неразбериха
бёрд,бёрд,бёрд,0,,бёрдо; бёрдовый
берег-1,берег,берег-1,1,1,оберегать; сберегательный; оберег; сберегать; приберегать; оберегаться; уберегать; приберегаться; сберегатель; сберегаться
берег-2,берег,берег-2,1,2,берег; береговой; береговушка; заберег; заберега
беред,беред,беред,0,,бередить; разбередить; разбередиться
береж-1,береж,берег-1,1,1,сбережение; бережный; бережливый; бережливость; бережёный; бережность; обережь
береж-2,береж,берег-2,1,2,набережная; побережье; бережок; побережный; подбережник; подбережный; прибережный; прибережье
берез,берез,берез,0,,березняк; березник
берёз,берёз,берез,0,,берёза; берёзина; берёзка; берёзовик; берёзовица; берёзовка; берёзовый; берёзонька; подберёзовик
берем,берем,берем,0,,беременность; забеременеть; беременная; беременеть; беремя
берест,берест,берест,0,,берестяной; берест; берестяник; берестянка
берёст,берёст,берест,0,,берёста; берёстка; берёстовый
береч,береч,берег-1,0,,беречь; уберечь; сберечь; беречься; поберечь; уберечься; приберечь; поберечься; оберечь; оберечься
берлог,берлог,берлог,0,,берлога
берлож,берлож,берлог,0,,берложный
берц,берц,берц,0,,берцовый; берцо
бёрц,бёрц,берц,0,,бёрце
бес,бес,бес,0,,бес; бесить; беситься; взбеситься; взбесить; бесноваться; бесовский; бесноватый; сбеситься; перебеситься
бесед,бесед,бесед,0,,беседа; собеседник; беседовать; беседка; побеседовать; собеседование; собеседница; беседковые; беседочка; беседочный
бечев,бечев,бечев,0,,бечева; бечевник; бечевой
бечёв,бечёв,бечев,0,,бечёвка; бечёвник; бечёвочка
беш,беш,бес,0,,бешеный; бешенство; бешенствовать; взбешённость; взбешённый
бж,бж,бд,0,,снабжение; снабжать; снабженец; снабжаться; снабжатель; снабженческий
би(j),би(j),би(j),0,,убить; бить; добиться; убийство; убивать; разбить; убийца; биться; сбить; добиваться
бидон,бидон,бидон,0,,бидон; бидонный
билет,билет,билет,0,,билет; билетик; билетный; безбилетник; безбилетный; безбилетница; билетёр; билетёрша; билетец
бинт,бинт,бинт,0,,бинт; забинтовать; перебинтовать; бинтовать; бинтик; бинтование; бинтоваться; бинтовка; бинтовой; забинтоваться
бир,бир,бер,0,,собираться; собирать; выбирать; избирательный; разбираться; избиратель; набирать; забирать; убирать; разбирать
бирк,бирк,бирк,0,,бирка
бироч,бироч,бирк,0,,бирочный
бирюз,бирюз,бирюз,0,,бирюзовый; бирюза
бирюк,бирюк,бирюк,0,,бирюк; бирюковатый
бирюл,бирюл,бирюл,0,,бирюлька; бирюлечный
бирюч,бирюч,бирюк,0,,бирюч; бирючий; бирючина; бирючок
бисер,бисер,бисер,0,,бисер; бисерный; бисеринка; бисерина; бисерник; бисерщик
битюг,битюг,битюг,0,,битюг; битюговый
битюж,битюж,битюг,0,,битюжий
благ,благ,благ,0,,благо; благой; благостный; благость; благостность; благостыня
блаж,блаж,благ,0,,блаженный; блаженство; блажь; поблажка; блаженствовать; ублажить; блажить; блаженненький; блажной; заблажить
блазн,блазн,блазн,0,,соблазн; соблазнить; соблазнительный; соблазнять; соблазниться; соблазнитель; соблазняться; соблазнительница; соблазнительность
бле,бле,бле,0,,блеять; проблеять; заблеять; блеяние
блев,блев,блев,0,,блевать; блевотина; блевота; блевотный; изблевать
блёв,блёв,блев,0,,сблёвывать
бледн,бледн,бледн,0,,бледный; побледнеть; бледнеть; бледность; бледненький; бледнёхонький; бледнёшенький; бледнить; бледноватость; бледноватый
блёк,блёк,блёк,0,,блёклость; блёклый; блёкнуть; поблёклый; поблёкнуть; поблёкший
блес,блес,блес,0,,блеснуть; блесна; взблеснуть; проблеснуть
блеск,блеск,блес,0,,блеск; отблеск; проблеск; взблескивать; отблескивать; взблеск; взблескивание
блёск,блёск,блес,0,,поблёскивать; проблёскивать
блест,блест,блес,0,,блестящий; блестеть; заблестеть; возблестеть; отблестеть; поблестеть
блёст,блёст,блес,0,,блёстка; блёсточка
ближ,ближ,ближ,0,,приближаться; ближний; приближение; сближение; приближать; сближать; сближаться; приближённо; приближённость; приближённый
близ,близ,ближ,0,,близкий; близость; приблизиться; приблизить; поблизости; близнец; вблизи; близиться; приблизительный; сблизиться
блин,блин,блин,0,,блин; блинчик; блинник; блинница; блинный; блинок; блиночек; блинчатый
блист,блист,блес,0,,блистать; блистательный; блистание; блистательность; возблистать; заблистать; отблистать; поблистать; проблистать
блох,блох,блох,0,,блоха
блош,блош,блох,0,,блошиный; блошистый; блошка; блошливый
блуд,блуд,блуд,0,,заблудиться; блудный; заблудший; блуд; блудница; приблудный; блудливый; блудить; блудливость; блудни
блужд,блужд,блуд,0,,заблуждение; блуждать; заблуждаться; блуждающий; блуждание; поблуждать; проблуждать
блуз,блуз,блуз,0,,блузка; блуза; блузник; блузочка
блюд-1,блюд,блюд-1,1,1,наблюдать; наблюдение; наблюдаться; соблюдение; соблюдать; наблюдатель; наблюдательный; соблюдаться; понаблюдать; наблюдательность
блюд-2,блюд,блюд-2,1,2,блюдо; блюдце; блюдечко; блюдечный; подблюдник; подблюдный
блюд-3,блюд,блуд,1,3,ублюдок; ублюдочный
блюс,блюс,блюд-1,0,,соблюсти; блюсти; блюстись; наблюсти
блюст,блюст,блюд-1,0,,блюститель; блюстительница
блях,блях,блях,0,,бляха
бляш,бляш,блях,0,,бляшка; бляшечка
бо-2,бо,ба-2,0,2,бояться; побояться; боязнь; небось; боязно; боязливый; убояться; безбоязненность; безбоязненный; боязливость
бо(j)-1,бо(j),би(j),0,1,боевой; бой; боец; боевик; разбойник; обои; отбой; сбой; забой; бойкий
боб,боб,боб,0,,боб; бобовый; бобина; бобинка; бобковый; бобовник; бобок; бобочек
бобёр,бобёр,бобёр,0,,бобёр
бобр,бобр,бобёр,0,,бобровый; бобрик; бобр; бобрёнок; бобриковый; бобриком; бобриха; бобровина; бобровник
бобыл,бобыл,бобыл,0,,бобыль; бобылиха; бобылка; бобыльский
бог,бог,бог,0,,бог; богатый; богатство; богиня; богач; обогащение; обогатить; разбогатеть; обогащать; обогатиться
богатыр,богатыр,богатыр,0,,богатырь; богатырский; богатырка; богатырство
бод,бод,бод,0,,бодаться; бодун; боднуть; забодать; бодать; бодание; бодливость; бодливый; бодунья; избодать
бодр,бодр,бадр,0,,бодрый; бодрость; ободрить; подбодрить; бодрствовать; приободриться; взбодрить; ободрять; бодрить; бодрящий
бож,бож,бог,0,,божий; божественный; обожать; божество; обожание; убожество; безбожник; безбожный; божеский; божиться
бок,бок,бок,0,,бок; боковой; сбоку; набок; вбок; боковина; побоку; боковушка; боком; обок
бол-1,бол,бал-1,1,1,боль; болезнь; больница; больной; болеть; больно; заболевание; заболеть; болезненный; больничный
бол-2,бол,бол-2,1,2,большой; более; большинство; большевик; большевистский; большевизм; большущий; боле; большак; большевичка
болач,болач,болач,0,,заболачиваемость; заболачивание; заболачивать; заболачиваться
болван,болван,болван,0,,болван; болванка; болванчик; болванистый; болваночный; оболваненный; оболванивать; оболваниваться; оболванить; оболваниться
болваш,болваш,болван,0,,болвашка
болон,болон,болон,0,,болона; заболонник; заболонный; заболонь; оболонь
болот,болот,болач,0,,болото; болотный; болотистый; болотце; болотина; болотистость; болотище; болотник; болотница; заболотиться
болоч,болоч,болач,0,,заболоченный; заболоченность
болт-1,болт,балт,1,1,болтать; болтаться; болтовня; поболтать; болтун; болтливый; проболтаться; оболтус; разболтать; сболтнуть
болт-2,болт,болт-2,1,2,болт; болтик; болтовой; разболтовать; сболтить
болч,болч,болт-2,0,,сболчивать; сболчиваться
бондар,бондар,бондар,0,,бондарь; бондарить; бондарный; бондарня; бондарский; бондарство
бор-1,бор,бер,1,1,выбор; выборы; сбор; набор; прибор; забор; собор; сборник; предвыборный; отбор
бор-2,бор,бор-2,1,2,борьба; оборона; бороться; оборонный; борец; оборонительный; побороть; обороняться; побороться; оборонять
бор-3,бор,бор-3,1,3,бор; боровик; боровой; борок; боровичок
боран,боран,боран,0,,проборанивать
борз,борз,борз,0,,борзая; борзой; борзовщик; борзый; борзятник; выборзок
бормот,бормот,бормот,0,,пробормотать; бормотать; забормотать; бормотание; бормотня; бормотун; бормотунья; побормотать
боров,боров,боров,0,,боров; боровок
бород,бород,бород,0,,борода; подбородок; бородатый; бородка; бородач; бородавка; безбородый; бородавчатый; бородавочка; бородавочник
борозд,борозд,борозд,0,,борозда; бороздка; бороздить; избороздить; бороздиться; бороздковый; бороздник; бороздной; бороздовой; бороздочка
борон,борон,боран,0,,борона; боронильщик; боронильщица; боронить; борониться; боронка; бороновальщик; бороновальщица; боронование; бороновать
борт-1,борт,борт-1,1,1,забортный; бортевой; бортник; бортничанье; бортничать; бортничество; бортный; бортовщик; борть
борт-2,борт,борт-2,1,2,борт; бортовой; бортик; бортовка; набортный; обортоваться
борщ,борщ,барщ,0,,борщ; переборщить; борщевик; борщовник; борщовый; борщок
бос,бос,бос,0,,босой; босиком; босяк; босяцкий; босячество
бот-1,бот,бот-1,1,1,ботало; ботать; ботня
бот-2,бот,бот-2,1,2,ботинок; бот (обувь); ботиночек; ботик [уменьш. к бот (обувь)]; ботиночный
бот-3,бот,бот-3,1,3,бот (судно); ботик [уменьш. к бот (судно)]; ботовый
ботв,ботв,ботв,0,,ботва; ботвинник; ботвинья
боч-1,боч,боч-1,1,1,бочка; бочонок; бочковый; бочар; бочарить; бочарничать; бочарный; бочарня; бочечка; бочечный
боч-2,боч,бок,1,2,обочина; побочный; бочок; подбочениться; бочком; избочениваться; избочениться; избочиться; подбоченивать; подбочениваться
бочаг,бочаг,бочаг,0,,бочаг
бочаж,бочаж,бочаг,0,,бочажина; бочажный; бочажок
бояр,бояр,бояр,0,,боярин; боярский; боярышник; боярыня; боярышня; боярство; боярщина; боярышница; отбояриваться; отбояриться
бр-1,бр,бер,1,1,брать; собрание; выбрать; собрать; собраться; разобраться; брак (супружество); добраться; забрать; убрать
бр-2,бр,бр-2,1,2,бритва; бриться; выбрить; бритый; брить; побриться; побрить; сбрить; бритвенный; обрить
браг,браг,браг,0,,брага
браж,браж,браг,0,,бражка; бражничать; бражник; бражничанье; бражнический; бражничество; бражный; пображничать
бразд-1,бразд,борозд,1,1,бразда (борозда)
бразд-2,бразд,бразд-2,1,2,"бразда (удила, узда); бразды"
брак,брак,брак,0,,брак (изъян); забраковать; выбраковка; бракованный; браковать; бракёр; бракераж; браковка; браковочный; браковщик
бран,бран,бран,0,,брань (ругань); бранить; браниться; перебранка; бранный; возбраняться; безвозбранный; бранивать; браниваться; бранчливость
брас,брас,брас,0,,выбрасывать; сбрасывать; отбрасывать; подбрасывать; забрасывать; разбрасывать; набрасываться; перебрасывать; набрасывать; выбрасываться
брат,брат,брат,0,,брат; братец; братский; братство; собрат; братия; братва; браток; братишка; братан
бревен,бревен,бревен,0,,бревенчатый
бревеш,бревеш,бревен,0,,бревешко
бревёш,бревёш,бревен,0,,бревёшко
бревн,бревн,бревен,0,,бревно
брёвн,брёвн,бревен,0,,брёвнышко
брег,брег,берег-1,0,,пренебрегать; пренебрегаться
бред,бред,бред,0,,бред; бредить; бредни; забредать; разбредаться; бредень; бредина; бредиться; бредовой; взбредать
бреж-1,бреж,берег-2,1,1,прибрежный; безбрежный; безбрежие; безбрежность; прибрежье
бреж-2,бреж,берег-1,1,2,пренебрежение; небрежный; небрежность; пренебрежительный; небрежение; небрежничать; пренебрежённый; пренебрежительность
брезг,брезг,брезг,0,,брезгливость; брезговать; брезгливый; брезгать; брезгливец; брезгливица; брезгун; брезгунья; побрезгать
брезж,брезж,брезж,0,,забрезжить; брезжить; брезжиться; пробрезжить
брем,брем,берем,0,,бремя; обременить; обременять; обременительный; обременение; бременить; обременённость; обременительность; обремениться; обременяться
брен,брен,брен,0,,бренный; бренность
бренч,бренч,бренч,0,,бренчать; забренчать; бренчание; побренчать; пробренчать
брес,брес,бред,0,,брести; побрести; забрести; взбрести; набрести; разбрестись; добрести; выбрести; отбрести; перебрести
брех,брех,брех,0,,брехать; брехня; брехун; брехнуть; брехунец; брехунья; набрехать; набрехаться; сбрехать; сбрехнуть
брёх,брёх,брех,0,,брёх
бреч,бреч,берег-1,0,,пренебречь; небречь
брич,брич,брич,0,,бричка; бричечный
бров,бров,бров,0,,бровь; бровка; бровастый; надбровный; надбровье; безбровый; бровный
брод,брод,бред,0,,бродить; бродяга; бродячий; побродить; брод; сброд; вброд; разброд; бродяжничество; бродяжка
брож,брож,бред,0,,брожение
брон,брон,брон,0,,броня; бронированный; броневик; броневой; забронировать; бронирование; бронировать; бронироваться; бронировка; забронироваться
брос,брос,брас,0,,бросить; броситься; бросать; выбросить; сбросить; бросаться; забросить; отбросить; разбросать; выброс
брош,брош,брас,0,,заброшенность; заброшенный
брус-1,брус,брус-1,1,1,брусок; брус; брусчатка; брусочек; брусковатый; брусковый; брусовать; брусовка; брусочник; брусочный
брус-2,брус,брус-2,1,2,брусника; брусничный; брусничка; брусничник
брыж,брыж,брыж,0,,брыжейка; брыжеечный; брыжейный; брыжи
брыз,брыз,брыз,0,,брызнуть; сбрызнуть; взбрызнуть; взбрызнуться; выбрызнуть; обрызнуть; обрызнуться; разбрызнуть
брызг,брызг,брыз,0,,брызги; брызгать; забрызгать; разбрызгивать; обрызгать; брызгаться; побрызгать; брызгалка; брызгало; брызганье
брык,брык,брык,0,,брыкаться; взбрыкнуть; взбрыкивать; брыкание; брыкать; брыкливый; брыкнуть; брыкнуться; брыкун; брыкунья
брыл,брыл,брыл,0,,брыластый; брылы
брюзг,брюзг,брюзг,0,,обрюзгший; брюзга; брюзгливый; брюзгливец; брюзгливость; брюзглость; брюзглый; брюзгнуть; обрюзглость; обрюзглый
брюзж,брюзж,брюзг,0,,брюзжать; брюзжание; забрюзжать; избрюзжаться; набрюзжать; побрюзжать; пробрюзжать; разбрюзжаться
брюк,брюк,брюк,0,,брюки
брюкв,брюкв,брюкв,0,,брюква; брюквенница; брюквенный; брюквина
брюх,брюх,брюх,0,,брюхо; брюхатый; брюхан; брюхастый; брюхатить; брюхач; брюховина
брюч,брюч,брюк,0,,брючный; брючки; брючник
брюш,брюш,брюх,0,,брюшко; брюшной; брюшина; брюшинный; брюшняк; набрюшник; набрюшный; надбрюшный; подбрюшник; подбрюшный
бряк,бряк,бряк,0,,брякнуть; набрякнуть; побрякушка; брякать; брякнуться; побрякивать; бряканье; брякаться; отбрякать; побрякать
бряц,бряц,бряк,0,,бряцать; бряцание; бряцательный; забряцать; побряцать
бу(j),бу(j),бу(j),0,,буйный; буйство; буян; обуять; буйствовать; буянить; буйность; буйственный; буянство; забуянить
бубен,бубен,бубен,0,,бубен; бубенчик; бубенец
бубён,бубён,бубен,0,,забубённый
бублик,бублик,бублик,0,,бублик; бубликовый
бублич,бублич,бублик,0,,бубличек; бубличник; бубличница; бубличный
бубн,бубн,бубен,0,,бубнить; бубновый; пробубнить; бубнист; бубновка; бубны
буга(j),буга(j),буга(j),0,,бугай
бугор,бугор,бугор,0,,бугор; бугорок; бугорочек; бугорчатка; бугорчатый
бугр,бугр,бугор,0,,бугристый; бугристость; бугрить; взбугрить; взбугриться
буд-1,буд,буд-1,1,1,разбудить; возбудить; будить; будильник; побудить; возбудитель; пробудить; пробудиться; побудительный; возбудиться
буд-2,буд,буд-2,1,2,будущий; незабудка; будущность; предбудущий
будк,будк,будк,0,,будка
будн,будн,будн,0,,будни; будничный; будний; будничность; буднишний; буднишность
будораж,будораж,будораж,0,,будоражить; взбудоражить; будоражиться; взбудораживать; взбудораживаться; взбудоражиться
будоч,будоч,будк,0,,будочка; будочник; будочный
буерак,буерак,буерак,0,,буерак
буерач,буерач,буерак,0,,буерачина; буерачный
бужд,бужд,буд-1,0,,возбуждение; возбуждать; побуждение; побуждать; пробуждение; пробуждаться; пробуждать; возбуждаться; возбуждающий; возбуждаемость
буженин,буженин,буженин,0,,буженина; буженинный
буз-1,буз,буз-1,1,1,бузить; буза; бузила; бузильщик; бузливый; бузовать; отбузовать
буз-2,буз,буз-2,1,2,бузина; бузинник; бузинный; бузиновый
бук-1,бук,бук-1,1,1,буква; буквальный; буковка; букварь; буквенный; безбукварный; буквальность; букварик; букварник; букварный
бук-2,бук,бук-2,1,2,бук (дерево); буковый
бук-3,бук,бук-3,1,3,бука
бук-4,бук,бук-4,1,4,бук (щёлок)
букан,букан,букан,0,,букан
букаш,букаш,букан,0,,букашка; букашечка; букашник
булав,булав,булав,0,,булавка; булава; булавочный; булавница; булавочка; булавочник; булавочница; булавчатый
булан,булан,булан,0,,буланка; буланый
булат,булат,булат,0,,булат; булатный
булг,булг,булг,0,,булга; булгачить; сбулгачить
булк,булк,булк,0,,булка
булоч,булоч,булк,0,,булочка; булочная; булочник; булочница; булочный
бултых,бултых,бултых,0,,бултыхаться; бултых; бултыхать; бултыхнуть; бултыхнуться
булыг,булыг,булыг,0,,булыга
булыж,булыж,булыг,0,,булыжник; булыжный
буль,буль,буль,0,,булькать; бульканье; забулькать; булькнуть; буль
бумаг,бумаг,бумаг,0,,бумага
бумаж,бумаж,бумаг,0,,бумажка; бумажный; бумажник; бумажонка; бумаженция; бумажечка
бунт,бунт,бунт,0,,бунт; бунтовать; взбунтоваться; бунтарь; бунтовщик; бунтарский; бунтарка; бунтарство; бунтоваться; бунтовской
бур-1,бур,бур-1,1,1,бурный; буря; бурлить; обуревать; забурлить; безбурный; буревой; бурление; бурливость; бурливый
бур-2,бур,бур-2,1,2,бурый; бурка (бурая лошадь); побуреть; бурёнка; бурёнушка; буреть; буроватый; забуреть; избура
бур-3,бур,бур-3,1,3,бурение; буровой; бур; пробурить; бурить; бурильный; бурильщик; бурильщица; буриться; буровик
бурав,бурав,бурав,0,,буравить; бурав; буравиться; буравчатый; буравчик; выбуравить; выбуравливать; выбуравливаться; набуравить; пробуравить
буран,буран,буран,0,,буран; буранный
бурд,бурд,бурд,0,,бурда
бурк-1,бурк,бурк-1,1,1,буркнуть; бурканье; буркать
бурк-2,бурк,бурк-2,1,2,бурка (одежда); бурки
бурлак,бурлак,бурлак,0,,бурлак
бурлац,бурлац,бурлак,0,,бурлацкий
бурлач,бурлач,бурлак,0,,бурлачество; бурлачить
