root,root_base,canonical_root,source,examples
идиом,идиом,идиом,tikhonov_new,идиома; идиоматика; идиоматический
идиот,идиот,идиот,tikhonov_new,идиот; идиотизм; идиотка; идиотия; по-идиотски
идиш,идиш,идиш,tikhonov_new,идиш
идол,идол,идол,kuznetsova,идол; идолопоклонник; идолище; идолопоклоннический; идолопоклонничество; идольский
иев,иев,иев,tikhonov_new,бериллиевый
иегов,иегов,иегов,tikhonov_new,иеговистский
иезуит,иезуит,иезуит,tikhonov_new,иезуит; иезуитизм; иезуитство
иен,иен,иен,tikhonov_new,иена
иерарх,иерарх,иерарх,tikhonov_new,иерархия; иерархический
иерей,иерей,иерей,tikhonov_new,протоиерей; архиерей; иерей; иерейский; иерейство; иерействовать
иеро,иеро,иеро,tikhonov_new,иеромонах; иеродьякон; иеродьяконский; иеромонашеский; иеромонашество
иероглиф,иероглиф,иероглиф,tikhonov_new,иероглиф
иждивен,иждивен,иждивен,kuznetsova,иждивение; иждивенец; иждивенчество; иждивенческий; иждивенка; иждивенский; иждивенство
ижиц,ижиц,ижиц,tikhonov_new,ижица; ижицеобразный
из,из,из,tikhonov_new,из
изабелл,изабелл,изабелл,tikhonov_new,изабелла; изабелловый
изб,изб,изб,kuznetsova,изба; избушка; избенка; избяной; изба-читальня; избач; избаческий; избёнка; избёночка; избишка
извед,извед,извед,tikhonov_new,изведший; малоизведанный
извест,извест,извест,kuznetsova,известь; известняк; известковый; известка; известняковый; заизвестковать; известегасильный; известкование; известковать; известковаться
извёст,извёст,извест,kuznetsova,извёстка
издат,издат,издат,tikhonov_new,госиздат
изм,изм,изм,tikhonov_new,деизм
изобар,изобар,изобар,tikhonov_new,изобара; изобарический; изобарный
изобат,изобат,изобат,tikhonov_new,изобата
изогон,изогон,изогон,tikhonov_new,изогона
изол,изол,изол,tikhonov_new,изоляция; изолировать; изолятор; изолированный; теплоизоляция; гидроизоляция; изоляционный; теплоизоляционный; звукоизоляция; гидроизоляционный
изотоп,изотоп,изотоп,tikhonov_new,свинцово-изотопный
израиль,израиль,израиль,tikhonov_new,израильский; израильтянин
изумруд,изумруд,изумруд,kuznetsova,изумрудный; изумруд; изумрудно-зеленый
изъян,изъян,изъян,kuznetsova,изъян; изъянец
изюбр,изюбр,изюбр,tikhonov_new,изюбревый; изюбровый
изюбрь,изюбрь,изюбрь,tikhonov_new,изюбрь
изюм,изюм,изюм,kuznetsova,изюминка; изюмина; изюмный
изящ,изящ,изящ,kuznetsova,изящный; изящество; изящность
ик,ик,ик,kuznetsova,заикаться; заикнуться; икать; заика; икнуть; заикание; икота; икание; икаться; икнуться
икари,икари,икари,tikhonov_new,икариец
икарий,икарий,икарий,tikhonov_new,икарийский
икат,икат,икат,tikhonov_new,дубликатный
икебан,икебан,икебан,tikhonov_new,икебана
икон,икон,икон,kuznetsova,икона; иконостас; иконопись; иконография; иконный; иконографический; иконоборец; иконоборчество; иконостасный; иконотека
икор,икор,икор,kuznetsova,икорка; икорный; икорочка
икр-1,икр,икор,kuznetsova,икра; икринка; икрина; икристость; икристый; икряной
икр-2,икр,икр-2,kuznetsova,икры
икс,икс,икс,tikhonov_new,икс
икул,икул,икул,tikhonov_new,жестикулировать
ил,ил,ил,kuznetsova,ил; илистый; ацетиленокислородный; ацетилхлорид; ацетилцеллюлоза; ацетильный; гнойно-гнилостный; заиление; заиленный; заиливание
или,или,или,tikhonov_new,флотилия
илл,илл,илл,tikhonov_new,миофибрилла; фибриллярный; фибрилляция; хондрилла
иллион,иллион,иллион,tikhonov_new,квадриллион
иллюз,иллюз,иллюз,tikhonov_new,иллюзорный
иллюзи,иллюзи,иллюзи,tikhonov_new,иллюзия; иллюзионист; иллюзион; иллюзионизм; иллюзионистический; иллюзионистка; иллюзионистский
иллюзор,иллюзор,иллюзор,tikhonov_new,безыллюзорный
иллюмин,иллюмин,иллюмин,tikhonov_new,иллюминатор; иллюминация; иллюминированный; иллюминировать; иллюминироваться; иллюминованный; иллюминовать; иллюминоваться
иллюстр,иллюстр,иллюстр,tikhonov_new,иллюстрация; проиллюстрировать; иллюстрированный; иллюстративный; иллюстрироваться; иллюстратор; иллюстрирование; книжно-иллюстративный; проиллюстрированный
илон,илон,илон,tikhonov_new,илон
ильк,ильк,ильк,tikhonov_new,илька; ильковый
ильм,ильм,ильм,tikhonov_new,ильмовые; ильмовый
ильмен,ильмен,ильмен,tikhonov_new,ильменит
ильмень,ильмень,ильмень,tikhonov_new,ильмень
им-1,им,ем,kuznetsova,иметь; иметься; имущество; преимущество; взаимный; имущественный; взаимосвязь; имение; взаимопонимание; заимствовать
им-2,им,им-2,kuznetsova,имя; наименование; именовать; именоваться; переименовать; именитый; именинник; именной; именины; переименование
имажин,имажин,имажин,tikhonov_new,имажинизм
имам,имам,имам,tikhonov_new,имамат
имбир,имбир,имбир,tikhonov_new,имбирный
имбирь,имбирь,имбирь,tikhonov_new,имбирь
имент,имент,имент,tikhonov_new,сортиментный
имеретин,имеретин,имеретин,tikhonov_new,имеретин; имеретинец
имит,имит,имит,tikhonov_new,имитация; имитационный; имитатор; сымитировать; имитаторский; кожимит; кожимитный; кожимитовый
иммун,иммун,иммун,tikhonov_new,иммунитет; иммунный; иммунизация; иммунизировать; иммунодефицит; аутоиммунный; иммунизированный; иммунизироваться; иммунодепрессант; иммунодиагностика
иммунитет,иммунитет,иммунитет,tikhonov_new,параиммунитет
импер,импер,импер,tikhonov_new,император; императорский; императрица; имперский
императив,императив,императив,tikhonov_new,императив
импери,импери,импери,tikhonov_new,империя
империал,империал,империал,tikhonov_new,империалистический; империалист; полуимпериал; социал-империалистический; социал-империалистский
импичмент,импичмент,импичмент,tikhonov_new,импичмент
импозантн,импозантн,импозантн,tikhonov_new,импозантный; импозантность
импон,импон,импон,tikhonov_new,импонировать; импонирующий
импорт,импорт,импорт,tikhonov_new,реимпорт; реимпортный
импотенц,импотенц,импотенц,tikhonov_new,импотенция
импресси,импресси,импресси,tikhonov_new,импрессионист; импрессионизм; импрессионистический; импрессионистский; неоимпрессионистский; постимпрессионизм
импров,импров,импров,tikhonov_new,импровизация; импровизированный; импровизационный; импровизаторский; импровизироваться
импровиз,импровиз,импровиз,tikhonov_new,сымпровизированный; сымпровизировать
импульс,импульс,импульс,tikhonov_new,импульс; импульсный; импульсивный; амплитудно-импульсный; анодно-импульсный; импульсно-дальномерный; импульсно-кодовый; импульстерапия; квазиимпульс; кодово-импульсный
ин-1,ин,ин-1,kuznetsova,иногда; инок; переиначить; иноческий; инокиня; переиначивать; инакий; иначе; иной; иночество
ин-2,ин,ин-2,kuznetsova,иней; инистый
инак,инак,инак,tikhonov_new,инакомыслие; инакомыслящий
инаугураци,инаугураци,инаугураци,tikhonov_new,инаугурация
инвалид,инвалид,инвалид,tikhonov_new,инвалид; инвалидность; инвалидка
инвентар,инвентар,инвентар,tikhonov_new,инвентаризация; инвентаризационный; безынвентарный; заинвентаризованный; инвентаризированный; инвентаризировать; инвентаризироваться; инвентаризованный
инвентарь,инвентарь,инвентарь,tikhonov_new,инвентарь; сельхозинвентарь
инверс,инверс,инверс,tikhonov_new,инверсор
инверси,инверси,инверси,tikhonov_new,инверсия; инверсионный
инверт,инверт,инверт,tikhonov_new,инвертирование; инвертированный; инвертировать; фазоинвертор
инвест,инвест,инвест,tikhonov_new,инвестиция; инвестор; инвестировать; инвестироваться; инвестированный
инг,инг,инг,tikhonov_new,блюминг-слябинг; блюмингостроение; крекинг-насос; крекинг-процесс
ингал,ингал,ингал,tikhonov_new,ингаляция; ингалятор; ингаляторий; ингаляционный
ингиб,ингиб,ингиб,tikhonov_new,ингибитор; ингибировать; ингибирование; ингибированный
ингредиент,ингредиент,ингредиент,tikhonov_new,ингредиент
ингуш,ингуш,ингуш,tikhonov_new,ингушский; ингушка
инд-1,инд,инд-1,kuznetsova,индейский; индиец; индейка; индюк; индюшка; индюшонок; вест-индский; индиевый; индий; индо-африканский
инд-2,инд,ин-2,kuznetsova,заиндевевший; заиндевелый; заиндеветь; индеветь
индекс,индекс,индекс,tikhonov_new,индекс; индексация; индексирование; индексно-последовательный; колор-индекс
индивид,индивид,индивид,tikhonov_new,индивидуальный; индивид; индивидуальность; индивидуум; индивидуалист; индивидуалистический; индивидуализироваться; индивидуалистка; индивидуально-бригадный; индивидуально-психологический
индиг,индиг,индиг,tikhonov_new,индигоидный; индигокармин; индигофера
индий,индий,индий,tikhonov_new,индийский; древнеиндийский; индийско-советский
индик,индик,индик,tikhonov_new,индикатор; индикация; индикаторный; биоиндикатор; индикатриса; индикационный; нуль-индикатор
индикатив,индикатив,индикатив,tikhonov_new,индикатив
индифферент,индифферент,индифферент,tikhonov_new,индифферентный; индифферентизм; индифферентность
индонезий,индонезий,индонезий,tikhonov_new,индонезийка
индосс,индосс,индосс,tikhonov_new,индоссант
инду,инду,инду,tikhonov_new,индуистский
индук,индук,индук,tikhonov_new,самоиндукция
индукт,индукт,индукт,tikhonov_new,индуктор; индуктивный; активно-индуктивный; индуктивность; индукторный
индукц,индукц,индукц,tikhonov_new,индукция; индукционный
индульгенци,индульгенци,индульгенци,tikhonov_new,индульгенция
индус,индус,индус,tikhonov_new,индусский; индуска
индустри,индустри,индустри,tikhonov_new,индустриальный; индустриализация; индустриализированный; индустриализироваться; индустриально-колхозный
индуц,индуц,индуц,tikhonov_new,индуцировать; индуцированный
инертн,инертн,инертн,tikhonov_new,инертный
инерци,инерци,инерци,tikhonov_new,инерционный; инерциальный; безынерционный; масляно-инерционный
инженер,инженер,инженер,kuznetsova,инженер; инженерный; инженерно-технический; инженерия; бортинженер; генно-инженерный; инженер-механик; адмирал-инженер; биоинженерия; военинженер
инжир,инжир,инжир,tikhonov_new,инжир; инжирный
иници,иници,иници,tikhonov_new,инициатива; инициатор; инициировать; инициативный; инициирующий
инициал,инициал,инициал,tikhonov_new,инициализация; инициализировать; инициалы
инициаль,инициаль,инициаль,tikhonov_new,инициальный
инициатив,инициатив,инициатив,tikhonov_new,малоинициативный
инкасс,инкасс,инкасс,tikhonov_new,инкассовый; инкассаторский; инкассация; инкассированный; инкассировать
инквартат,инквартат,инквартат,tikhonov_new,инквартата
инквиз,инквиз,инквиз,tikhonov_new,инквизитор; инквизиторский; инквизиторство; инквизиционный
инклин,инклин,инклин,tikhonov_new,инклинометр; инклинометрия
инкорпор,инкорпор,инкорпор,tikhonov_new,инкорпорировать; инкорпорирующий
инкримин,инкримин,инкримин,tikhonov_new,инкриминировать; инкриминирование; инкриминированный
инкруст,инкруст,инкруст,tikhonov_new,инкрустировать; инкрустация; инкрустированный; инкрустироваться
инкуб,инкуб,инкуб,tikhonov_new,инкубаторно-птицеводческий; инкубаторный; инкубироваться; проинкубированный; проинкубировать
инсину,инсину,инсину,tikhonov_new,инсинуация; инсинуированный; инсинуировать
инспект,инспект,инспект,tikhonov_new,инспектор; инспектировать; инспекторский; инспектированный; инспектироваться; инспекторство; инспектура; охотинспектор; рыбинспектор; санинспектор
инспектр,инспектр,инспектр,tikhonov_new,инспектриса
инспекц,инспекц,инспекц,tikhonov_new,инспекция; автоинспекция; госинспекция; охотинспекция; рыбинспекция
инспир,инспир,инспир,tikhonov_new,инспирировать; инспиратор; инспирация; инспирирование; инспирированный
инсталл,инсталл,инсталл,tikhonov_new,инсталляция
инстанци,инстанци,инстанци,tikhonov_new,инстанция
инстинкт,инстинкт,инстинкт,tikhonov_new,инстинкт; инстинктивный
институт,институт,институт,tikhonov_new,институт; институтский; пединститут; мединститут; межинститутский
инструкт,инструкт,инструкт,tikhonov_new,инструктор; инструктировать; проинструктировать; санинструктор; инструкторский; инструктивный; военно-инструктивный; инструктирование; инструктироваться
инструкц,инструкц,инструкц,tikhonov_new,инструкция; инструкционный
инструмент,инструмент,инструмент,tikhonov_new,инструментальный; инструментарий; инструменталист; инструментованный; инструментовать; слесарь-инструментальщик; электроинструмент
инсулин,инсулин,инсулин,tikhonov_new,инсулин
инсульт,инсульт,инсульт,tikhonov_new,инсульт
интегр,интегр,интегр,tikhonov_new,интеграция; интегрировать; интегральный; интегрирование; дезинтеграция; интегратор; дезинтегратор; интегрирующий; интегрирующийся; подынтегральный
интеграль,интеграль,интеграль,tikhonov_new,безынтегральный; надынтегральный
интеллект,интеллект,интеллект,tikhonov_new,интеллектуальный; интеллект; интеллектуализм
интеллигент,интеллигент,интеллигент,tikhonov_new,интеллигентный; интеллигент; интеллигентский; интеллигентность; неинтеллигентный; интеллигентка; высокоинтеллигентный; интеллигентство; интеллигентщина; малоинтеллигентный
интеллигенц,интеллигенц,интеллигенц,tikhonov_new,интеллигенция
интендант,интендант,интендант,tikhonov_new,интендант
интенсивн,интенсивн,интенсивн,tikhonov_new,слабоинтенсивный
интенци,интенци,интенци,tikhonov_new,интенция
интер,интер,интер,tikhonov_new,воин-интернационалист
интервал,интервал,интервал,tikhonov_new,интервал
интервент,интервент,интервент,tikhonov_new,интервент
интервенц,интервенц,интервенц,tikhonov_new,интервенция; интервенционистский; интервенционный
интервью,интервью,интервью,tikhonov_new,интервьюер; интервьюировать; интервьюирование; проинтервьюированный; проинтервьюировать
интерес,интерес,интерес,kuznetsova,интерес; интересный; интересовать; интересоваться; поинтересоваться; заинтересовать; заинтересованный; заинтересоваться; неинтересный; заинтересованность
интерлюди,интерлюди,интерлюди,tikhonov_new,интерлюдия
интермеди,интермеди,интермеди,tikhonov_new,интермедия
интерн,интерн,интерн,tikhonov_new,интернировать; интерн; интернированный; интернироваться
интернат,интернат,интернат,tikhonov_new,интернат; школа-интернат; интернатский; интернатура
интерпелл,интерпелл,интерпелл,tikhonov_new,интерпеллировать
интерпрет,интерпрет,интерпрет,tikhonov_new,интерпретация; интерпретировать; интерпретатор; интерпретированный
интерфер,интерфер,интерфер,tikhonov_new,интерферировать; интерферометр
интим,интим,интим,tikhonov_new,интим; интимность; интима
интр,интр,интр,tikhonov_new,интроскопия
интра,интра,интра,tikhonov_new,интразональный; интрамолекулярный
интриг,интриг,интриг,tikhonov_new,заинтриговать; интриговать; интриган; заинтригованный; заинтриговывать; интриганка; интриганский; интриганство; поинтриговать
интро,интро,интро,tikhonov_new,интровертивный; интроспективный
интродукци,интродукци,интродукци,tikhonov_new,интродукция
интрумент,интрумент,интрумент,tikhonov_new,интрументовка
интуит,интуит,интуит,tikhonov_new,интуитивистский
интуиц,интуиц,интуиц,tikhonov_new,интуиция
инфантер,инфантер,инфантер,tikhonov_new,инфантерия
инфантил,инфантил,инфантил,tikhonov_new,инфантилизм
инфантиль,инфантиль,инфантиль,tikhonov_new,инфантильный; инфантильность
инфаркт,инфаркт,инфаркт,tikhonov_new,инфаркт; предынфарктный; микроинфаркт
инфекци,инфекци,инфекци,tikhonov_new,инфекция; инфекционный; инфекционист
инфинитив,инфинитив,инфинитив,tikhonov_new,инфинитив; инфинитивный
инфиц,инфиц,инфиц,tikhonov_new,инфицировать; дезинфицировать; продезинфицировать; дезинфицированный; дезинфицирующийся
инфл,инфл,инфл,tikhonov_new,инфляция
информ,информ,информ,tikhonov_new,информировать; информатика; информатизация; информативный; дезинформация; информированный; информативность; информационно-вычислительный; информационно-поисковый; дезинформировать
инфра,инфра,инфра,tikhonov_new,инфраструктура; инфразвук; инфрахроматический
инфузор,инфузор,инфузор,tikhonov_new,инфузорный
инфузори,инфузори,инфузори,tikhonov_new,инфузория
инцидент,инцидент,инцидент,tikhonov_new,инцидент; инцидентный
инъек,инъек,инъек,tikhonov_new,инъекция
инъец,инъец,инъец,tikhonov_new,инъецированный; инъецировать
инъюнктив,инъюнктив,инъюнктив,tikhonov_new,инъюнктив
иол,иол,иол,tikhonov_new,иол
ион,ион,ион,tikhonov_new,ион; ионный; ионизирующий; ионообменный; ионосфера; аэроионизатор; аэроионотерапия; гидроаэроионизация; деионизация; ионизатор
иордан,иордан,иордан,tikhonov_new,трансиорданский
ипо,ипо,ипо,tikhonov_new,иподиакон; иподьякон; иподьяконский
ипоме,ипоме,ипоме,tikhonov_new,ипомея
ипостась,ипостась,ипостась,tikhonov_new,ипостась
ипотеч,ипотеч,ипотеч,tikhonov_new,ипотечный
ипохондр,ипохондр,ипохондр,tikhonov_new,ипохондрик; ипохондрический
ипохондри,ипохондри,ипохондри,tikhonov_new,ипохондрия
иппик,иппик,иппик,tikhonov_new,конкур-иппик
иппо,иппо,иппо,tikhonov_new,иппология
иприт,иприт,иприт,tikhonov_new,противоипритный
ирак,ирак,ирак,tikhonov_new,иракский; иракец
иран,иран,иран,tikhonov_new,иранец; англо-советско-иранский; индоиранский; иранист; иранистика; иранка; ирано-турецкий
ирбис,ирбис,ирбис,tikhonov_new,ирбис
ирид,ирид,ирид,tikhonov_new,иридий
ирис,ирис,ирис,tikhonov_new,ириска
ирланд,ирланд,ирланд,tikhonov_new,ирландский; ирландец
ирод,ирод,ирод,tikhonov_new,ирод
ирокез,ирокез,ирокез,tikhonov_new,ирокезка; ирокезский
ирон,ирон,ирон,tikhonov_new,иронический; ироничный; иронизировать
ирони,ирони,ирони,tikhonov_new,ирония
ирриг,ирриг,ирриг,tikhonov_new,ирригатор; ирригационный; ирригация
иск,иск,иск,kuznetsova,искать; поиск; иск; поискать; исковой; поисковый; выискивать; искание; искомый; прииск
искариот,искариот,искариот,tikhonov_new,искариот
искор,искор,искор,kuznetsova,искорка
искр,искр,искор,kuznetsova,искра; искриться; искрометный; искристый; искрить; заискриться; искрение; искристость; искровой; искрозащищенный
искренн,искренн,искренн,kuznetsova,искренне; искренний; искренность; искренно; неискренний
ислам,ислам,ислам,tikhonov_new,исламизация; исламистский
исланд,исланд,исланд,tikhonov_new,исландский; исландец; исландка
исмент,исмент,исмент,tikhonov_new,аплодисменты
испан,испан,испан,tikhonov_new,по-испански; испанист; испанистка; испано-американский; испано-португальский; испанско-русский
исполин,исполин,исполин,kuznetsova,исполин
иссим,иссим,иссим,tikhonov_new,брависсимо; престиссимо
иссимус,иссимус,иссимус,tikhonov_new,генералиссимус
иссоп,иссоп,иссоп,tikhonov_new,иссоп; иссоповый
иссык,иссык,иссык,tikhonov_new,заиссыккульский
ист,ист,ист,kuznetsova,истина; истинный; поистине; истец; воистину; неистовый; истинность; неистовство; истовый; неистовствовать
истеблишмент,истеблишмент,истеблишмент,tikhonov_new,истеблишмент
истер,истер,истер,tikhonov_new,истерика; истеричный; истеричка
истор,истор,истор,kuznetsova,история; исторический; историк; историография; культурно-исторический; доисторический; предыстория; историограф; историзм; всемирно-исторический
исчез,исчез,исчез,kuznetsova,исчезнуть; исчезать; исчезновение; исчезнувший
итал,итал,итал,tikhonov_new,австро-итало-французский; итало-австрийский; итало-германский
италий,италий,италий,tikhonov_new,италийский
италь,италь,италь,tikhonov_new,итальянский; по-итальянски; итальянка
итар,итар,итар,tikhonov_new,гуманитарный
ительмен,ительмен,ительмен,tikhonov_new,ительменский
итин,итин,итин,tikhonov_new,пальмитин
итог,итог,итог,tikhonov_new,итог; итоговый; безытоговый
итож,итож,итож,tikhonov_new,подытожить; подытоживать; итожить; итожиться; подытоженный; подытоживаться
ить,ить,ить,tikhonov_new,зажуриться; засучиться; затупиться; подбриться
иуд,иуд,иуд,tikhonov_new,иудаизм; иудейство; иуда; иудаистический; иудушка
ихти,ихти,ихти,tikhonov_new,ихтиолог; ихтиоз; ихтиозавр; ихтиол; ихтиоловый; ихтиологический; ихтиология
ици,ици,ици,tikhonov_new,экспедиционно-транспортный
ицин,ицин,ицин,tikhonov_new,электромедицинский
ичиг,ичиг,ичиг,tikhonov_new,ичиги
ичн,ичн,ичн,tikhonov_new,вторичноротые; первичнопокровные; первичнополостной; первичнотрахейные; симметрично-противоположный
ичь,ичь,ичь,tikhonov_new,девичья
иш,иш,иш,tikhonov_new,ишемия
ишак,ишак,ишак,kuznetsova,ишак
ишач,ишач,ишак,kuznetsova,ишачий; ишачок
ишеч,ишеч,ишеч,tikhonov_new,мальчишечий; мальчишечка
ишиас,ишиас,ишиас,tikhonov_new,ишиас
ишиат,ишиат,ишиат,tikhonov_new,ишиатический
ишь,ишь,ишь,tikhonov_new,ишь
ищ,ищ,иск,kuznetsova,ищущий; ищейка; ищущийся
июл,июл,июл,kuznetsova,июль; июльский
июнь,июнь,июнь,tikhonov_new,июнь; июньский
й,й,и-1,kuznetsova,пойти; прийти; выйти; найти; пройти; уйти; прийтись; войти; произойти; подойти
йд,йд,и-1,kuznetsova,пройдоха; найденный; найдёныш; нейдет; непревзойдённый; обойденный; перейденный; превзойденный; пройденное; пройденный
йемен,йемен,йемен,tikhonov_new,йеменский; йеменец; йеменка; южнойеменский
йм,йм,ем,kuznetsova,поймать; уйма; обойма; пойма; взаймы; займище; пойменный; пройма; наймит; внаймы
йог,йог,йог,tikhonov_new,йога; йог
йогурт,йогурт,йогурт,tikhonov_new,йогурт
йод,йод,йод,tikhonov_new,йод; йодид; йодисто-водородный; йодистый; йодноватый; йодный; йодоформ
йоркшир,йоркшир,йоркшир,tikhonov_new,йоркшир; йоркширский
йот,йот,йот,tikhonov_new,йот; йотация; йотированный; йотировать; йотованный
йошкар,йошкар,йошкар,tikhonov_new,йошкар-олинский; йошкаролинец
ка-1,ка,ка-1,kuznetsova,покаяние; каяться; раскаяние; покаяться; окаянный; покаянный; раскаяться; раскаиваться; неприкаянный; неприкаянность
ка-2,ка,ка-2,kuznetsova,кануть
кабак,кабак,кабак,kuznetsova,кабак
кабал,кабал,кабал,kuznetsova,кабала; кабальный; закабаление; закабаленный; закабалить; закабалиться; закабалять; закабаляться; кабалистический; кабалить
кабан,кабан,кабан,kuznetsova,кабан; кабанчик; кабаний; кабанина; кабаниха; кабанище
кабарг,кабарг,кабарг,tikhonov_new,кабарга; кабарговый
кабардин,кабардин,кабардин,tikhonov_new,кабардино-балкарский; кабардинец; кабардинский
кабат,кабат,кабак,kuznetsova,кабатчик; кабатчица
кабац,кабац,кабак,kuznetsova,кабацкий
кабач-1,кабач,кабак,kuznetsova,кабачок (питейное заведение)
кабач-2,кабач,кабач-2,kuznetsova,кабачок (о вош); кабачковый
каббал,каббал,каббал,tikhonov_new,каббалистика; каббалистический
кабел,кабел,кабел,tikhonov_new,кабелеукладчик
кабель,кабель,кабель,tikhonov_new,кабель; кабельный; кабель-кран; телеграфно-кабельный
кабельтов,кабельтов,кабельтов,tikhonov_new,кабельтов
кабестан,кабестан,кабестан,tikhonov_new,кабестанный
кабин,кабин,кабин,tikhonov_new,кабина; кабинка
кабинет,кабинет,кабинет,tikhonov_new,кабинет; кабинетный; кабинетский
кабл,кабл,кабл,tikhonov_new,каблограмма
каблук,каблук,каблук,kuznetsova,каблук
каблуч,каблуч,каблук,kuznetsova,каблучок; каблучище; каблучный
каботаж,каботаж,каботаж,tikhonov_new,каботаж; каботажный
кабошон,кабошон,кабошон,tikhonov_new,кабошон
кабр,кабр,кабр,tikhonov_new,кабрирование
кабриолет,кабриолет,кабриолет,tikhonov_new,кабриолет
кабуль,кабуль,кабуль,tikhonov_new,кабульский
кавалер,кавалер,кавалер,tikhonov_new,кавалерийский; кавалерист; кавалергард; кавалергардский
кавалькад,кавалькад,кавалькад,tikhonov_new,кавалькада
кавардак,кавардак,кавардак,tikhonov_new,кавардак
каватин,каватин,каватин,tikhonov_new,каватина
каверз,каверз,каверз,kuznetsova,каверзный; каверза; каверзить; каверзник; каверзница; каверзничать; каверзность; накаверзить; накаверзничать; скаверзить
каверн,каверн,каверн,tikhonov_new,каверна; кавернозный; каверномер; кавернометрия; кавернотомия
кавказ,кавказ,кавказ,tikhonov_new,кавказский; кавказец; закавказский; кавказка; южнокавказский
кавык,кавык,кавык,kuznetsova,закавыка; кавыка
кавыч,кавыч,кавык,kuznetsova,кавычка; закавыченный; закавычить; закавычка; кавычки; раскавычивать
кагал,кагал,кагал,tikhonov_new,кагал
каган,каган,каган,tikhonov_new,каганат; каган
кагат,кагат,кагат,tikhonov_new,кагат; кагатный
кагор,кагор,кагор,tikhonov_new,кагор
кад-1,кад,кад-1,kuznetsova,кадка; кадушка; кадочка; кадочник; кадочный; кадушечка; кадушечный
кад-2,кад,кад-2,kuznetsova,кадило; кадить; кадильница; кадильный; кадушечный; покадить
каданс,каданс,каданс,tikhonov_new,каданс; кадансированный; кадансировать
кадастр,кадастр,кадастр,tikhonov_new,кадастр; кадастровый
каденц,каденц,каденц,tikhonov_new,каденцевый
кадм,кадм,кадм,tikhonov_new,кадмий; кадмиевый; кадмирование
кадр,кадр,кадр,tikhonov_new,кадровый; кадровик; закадровый; кинокадр; завкадрами; кадрирование; кадры
кадриль,кадриль,кадриль,tikhonov_new,кадриль
кадык,кадык,кадык,kuznetsova,кадык
кадыч,кадыч,кадык,kuznetsova,закадычный; кадычок
каем,каем,каем,tikhonov_new,каемчатый
каём,каём,каём,kuznetsova,каёмка; каёмочка; каёмочный; каёмчатый
каж-1,каж,каж-1,kuznetsova,кажущийся
каж-2,каж,каж-2,kuznetsova,искажение; искаженный; искажать; искажаться; безыскаженный; искажённый; прокажённый; скаженный
кажд-1,кажд,каж-1,kuznetsova,каждый
кажд-2,кажд,кад-2,kuznetsova,каждодневный; каждение; каждогодно
каз-1,каз,каж-1,kuznetsova,сказать; оказаться; казаться; показать; рассказывать; рассказать; оказываться; показывать; показаться; рассказ
каз-2,каз,каж-2,kuznetsova,исказить; неказистый; исказиться; проказа; напроказить; напроказничать; неказистость; проказить; проказливость; проказливый
казак,казак,казак,kuznetsova,казак; белоказак
казан,казан,казан,tikhonov_new,казанский
казарм,казарм,казарм,tikhonov_new,казарма
казат,казат,казак,kuznetsova,казатчина
казах,казах,казах,tikhonov_new,казах; западноказахстанский; североказахстанский
казац,казац,казак,kuznetsova,казацкий; по-казацки
казач,казач,казак,kuznetsova,казачий; казачество; казачка; казачок; казачина; казачонок; по-казачьи
казаш,казаш,казаш,tikhonov_new,казашка
казеин,казеин,казеин,tikhonov_new,казеин; казеиновый; казеиноген
каземат,каземат,каземат,tikhonov_new,казематированный; казематный
казён,казён,казён,kuznetsova,казённик; казеннокоштный; казённый; казёнщина; оказененный; оказенивать; оказёнивать; оказениваться; оказёниваться; оказенить
казимир,казимир,казимир,tikhonov_new,казимировый
казинет,казинет,казинет,tikhonov_new,казинет
казн-1,казн,казн-1,kuznetsova,казнь; казнить; казниться; казнённый; расказнить
казн-2,казн,казён,kuznetsova,казна; казначейство; казначей; казначейский; казначейша
казу,казу,казу,tikhonov_new,казуистика; казуист; казуистический
казус,казус,казус,tikhonov_new,казус; казусный
каик,каик,каик,tikhonov_new,каик
кайен,кайен,кайен,tikhonov_new,кайенский
кайзер,кайзер,кайзер,tikhonov_new,кайзер; кайзеровский
кайл,кайл,кайл,tikhonov_new,кайло; кайла; кайлить
кайм,кайм,каём,kuznetsova,окаймить; кайма; окаймлять; каймить; окаймиться; окаймление; окаймленный; окаймляться
кайно,кайно,кайно,tikhonov_new,кайнозой; кайнозойский
кайр,кайр,кайр,tikhonov_new,кайра
кайсац,кайсац,кайсац,tikhonov_new,киргиз-кайсацкий
кайф,кайф,кайф,tikhonov_new,кайф; кайфовать
как,как,как,kuznetsova,как; как-либо; как-нибудь; каков; каковой; каковский; какой; какой-либо; кое-какой; никак
кака,кака,кака,tikhonov_new,какаовый
какавелл,какавелл,какавелл,tikhonov_new,какавелла
какофон,какофон,какофон,tikhonov_new,какофония; какофонический; какофоничный
кактус,кактус,кактус,tikhonov_new,кактус; кактусовый; филлокактус
кал-1,кал,кал-1,kuznetsova,раскалить; накал; закалка; накаляться; закалить; накалить; закаляться; закалять; накалиться; раскалиться
кал-2,кал,кал-2,kuznetsova,вкалывать; раскалываться; раскалывать; покалывать; подкалывать; прокалывать; накалывать; прикалываться; закалывать; покалывание
кал-3,кал,кал-3,kuznetsova,кал; каловый
каламбур,каламбур,каламбур,tikhonov_new,каламбур; каламбурист; скаламбурить
