S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS
,почта,870.96,,почтамт,528.52,,почтальон,382.94,,почтовый,40.33,,почтовик,13.17
,салон,869.77,,салонный,9.44,,,,,,,,,
,виза,869.27,,визовый,6.69,,безвизовый,3.59,,завизировать,1.83,,,
,купе,868.58,,купейный,3.98,,,,,,,,,
,сверкать,867.72,,сверкнуть,735.51,,сверкающий,629.02,,засверкать,617.47,,посверкивать,208.65
,ружье,867.29,,оружие,620.97,,безоружный,348.22,,вооружить,226.19,,оружейный,214.15
,алый,866.60,,алеть,718.29,,заалеть,508.10,,аленький,405.80,,алия,9.17
,хороший,866.35,,хорошо,527.63,,хорошенький,132.94,,хорошенько,35.51,,хорошеть,31.92
,шина,866.20,,шинный,7.51,,шинник,6.95,,,,,,
,счеты,866.12,,отсчет,786.28,,счет,652.10,,счетчик,650.81,,расчет,162.90
,сиять,866.05,,сияние,688.09,,сиянье,621.37,,засиять,535.61,,просиять,429.36
,апрель,865.70,,апрельский,7.84,,,,,,,,,
,портфель,864.17,,портфельчик,508.19,,портфельный,2.54,,,,,,
,чаща,862.86,,частый,116.40,,частушка,64.84,,частота,42.79,,зачастую,38.50
,муха,861.07,,мушка,372.72,,мушиный,4.64,,,,,,
,сахар,858.02,,сахарница,714.59,,сахарок,512.93,,сахарный,49.61,,сахарин,8.18
,батя,857.17,,батька,640.97,,батяня,614.14,,батюшка,572.42,,батенька,417.88
,няня,855.60,,нянька,634.51,,нянечка,519.84,,нянчить,13.56,,нянчиться,8.41
,факс,854.40,,,,,,,,,,,,
,теоретик,853.28,,теоретически,428.53,,,,,,,,,
,бровь,853.27,,бровастый,179.60,,бровка,30.21,,надбровье,7.51,,надбровный,7.20
,орден,853.03,,орденский,7.68,,,,,,,,,
,арка,852.98,,ар,3.47,,,,,,,,,
,шофер,852.75,,шоферить,8.43,,шоферский,6.11,,,,,,
,перчатка,851.51,,перстень,830.84,,перст,738.44,,наперсток,712.41,,перстенек,706.41
,потерять,850.32,,потерянный,190.14,,терять,127.80,,потеря,124.03,,теряться,39.12
,трюк,849.79,,трюковой,5.04,,,,,,,,,
,пробирка,849.78,,проба,114.51,,попробовать,83.43,,пробовать,70.57,,опробовать,22.64
,паек,849.19,,пай,20.70,,пайщик,9.65,,паевой,4.50,,пайковый,3.29
,зять,848.99,,зятек,708.75,,,,,,,,,
,корт,848.82,,корточки,430.67,,,,,,,,,
,телевизор,848.80,,,,,,,,,,,,
,швед,848.37,,шведка,610.77,,шведский,17.41,,,,,,
,башня,848.35,,башенка,532.91,,башенный,8.27,,,,,,
,элемент,847.93,,элементарный,460.10,,элементарно,27.46,,микроэлемент,9.25,,элементный,7.25
,грим,847.89,,гримерка,408.41,,гримерная,357.36,,гримировать,253.72,,гример,18.29
,муза,847.20,,,,,,,,,,,,
,седой,846.96,,седина,656.66,,проседь,20.50,,седеть,17.72,,седенький,12.58
,бесценный,846.92,,ценовой,694.88,,цена,437.37,,оценка,271.21,,ценность,256.49
,кинуть,846.57,,скидка,816.68,,покинуть,671.22,,кидать,398.97,,выкинуть,275.53
,тренажер,846.15,,тренировка,378.29,,тренировать,278.84,,тренер,184.91,,тренерский,14.79
,блаженно,846.00,,поблажка,833.97,,блажь,762.67,,блаженный,438.07,,ублажать,433.97
,меню,845.60,,,,,,,,,,,,
,фига,845.56,,фиг,25.25,,фиговый,3.21,,офигенный,3.17,,офигеть,2.57
,межа,843.60,,промежность,261.25,,промежуток,19.87,,вперемежку,16.35,,смежный,13.07
,соус,843.20,,,,,,,,,,,,
,таблетка,842.90,,таблеточка,604.94,,,,,,,,,
,специалист,842.85,,,,,,,,,,,,
,кристалл,842.75,,кристаллик,608.09,,,,,,,,,
,встретить,842.14,,встречать,756.41,,навстречу,698.15,,встречаться,591.00,,встретиться,559.71
,тоже,841.70,,тож,20.64,,,,,,,,,
,мотоцикл,840.87,,мотоциклет,604.52,,мотоциклист,259.42,,,,,,
,обезьяна,840.18,,обезьянка,714.10,,обезьяний,362.78,,обезьянник,153.02,,,
,хвоя,839.84,,хвойный,28.70,,,,,,,,,
,компьютер,839.40,,компьютерный,57.99,,компьютерщик,10.51,,,,,,
,должен,838.88,,долг,714.04,,должность,292.96,,должно,235.01,,должник,215.83
,трап,838.80,,,,,,,,,,,,
,сквозной,837.52,,скважинный,158.05,,скважина,121.39,,насквозь,116.40,,сквозить,16.40
,камера,837.37,,камеристка,310.18,,сокамерник,157.89,,камерный,28.16,,камерность,2.28
,жрец,837.06,,жрица,716.12,,жреческий,2.01,,,,,,
,гель,836.79,,,,,,,,,,,,
,герб,836.65,,гербарий,406.60,,гербовый,3.91,,,,,,
,король,835.99,,королева,499.41,,королевич,382.88,,королевство,285.71,,королевский,59.73
,архив,835.88,,архивист,409.24,,архивариус,308.20,,архивный,16.27,,,
,консервы,835.88,,консервный,320.91,,консервация,5.32,,консервант,2.12,,,
,фойе,835.60,,,,,,,,,,,,
,бюст,835.43,,бюстик,606.91,,,,,,,,,
,пирамида,835.33,,пирамидка,710.08,,пирамидный,304.19,,,,,,
,лейтенант,835.03,,лейтенантик,4.02,,,,,,,,,
,кастрюля,834.39,,кастрюлька,610.63,,,,,,,,,
,черепаха,833.86,,череп,761.11,,черепашка,712.38,,черепок,527.71,,черепица,419.08
,идол,833.75,,,,,,,,,,,,
,писк,832.89,,пищать,623.15,,пискнуть,415.23,,запищать,409.50,,попискивать,255.72
,дробилка,832.73,,дробь,792.63,,дробить,533.08,,дробиться,373.83,,раздробить,161.54
,зола,832.47,,зольник,505.20,,золить,8.25,,зольный,2.60,,,
,лира,832.00,,,,,,,,,,,,
,депо,831.72,,деповский,2.68,,,,,,,,,
,паук,831.46,,паутинка,812.65,,паучок,607.12,,паутина,521.01,,паучий,306.27
,владыка,831.35,,владелец,418.13,,власть,411.65,,владеть,222.23,,властитель,194.98
,урна,831.20,,,,,,,,,,,,
,москвич,831.20,,москвичка,416.16,,московский,219.34,,московит,48.92,,подмосковный,35.31
,гипс,830.83,,загипсовать,126.72,,гипсовый,14.10,,,,,,
,ярус,830.42,,,,,,,,,,,,
,пилот,830.40,,пилотка,539.34,,пилотаж,525.40,,пилотировать,212.85,,пилотский,6.29
,маяк,829.62,,маятниковый,505.31,,маячить,18.18,,маятник,7.17,,маячок,3.61
,воск,829.13,,восковой,12.29,,вощеный,5.05,,ваще,3.03,,,
,ария,828.92,,ариец,2.56,,,,,,,,,
,фарш,828.73,,фаршировать,252.59,,,,,,,,,
,тряпочка,828.42,,тряпка,644.21,,тряпица,511.44,,тряпье,320.70,,тряпичный,16.38
,виноград,828.19,,виноградник,510.22,,виноградина,503.86,,виноградный,261.20,,виноградарь,253.86
,вить,827.95,,виток,739.72,,витой,726.59,,вьющийся,416.86,,виться,40.97
,пляс,827.84,,пляска,642.45,,плясун,613.21,,плясать,554.48,,сплясать,411.37
,сера,827.83,,серный,7.91,,серозный,1.98,,сернистый,1.36,,,
,купа,827.73,,вкупе,12.41,,совокупность,8.52,,совокупление,7.54,,совокупный,7.01
,овес,827.63,,овсянка,508.87,,овсяный,11.37,,,,,,
,обычно,827.58,,обычай,163.10,,обычный,162.84,,необычный,120.87,,обыкновенный,70.05
,сень,827.39,,осенить,12.28,,осенять,6.14,,,,,,
,скатерть,826.38,,скатерка,805.73,,,,,,,,,
,гриф,826.00,,,,,,,,,,,,
,фрак,825.20,,,,,,,,,,,,
,племя,824.75,,племяш,617.23,,племянник,401.59,,племянница,332.05,,племянничек,255.86
,тюремщик,824.59,,тюремный,481.33,,тюрьма,213.31,,,,,,
,рожь,824.22,,ржаной,14.75,,,,,,,,,
,легкое,824.22,,слегка,117.62,,льгота,67.95,,облегчить,52.02,,облегчать,44.80
,затопать,824.22,,топать,677.48,,топ,483.92,,стоптать,425.40,,топот,387.31
,трюм,823.78,,трюмный,4.40,,,,,,,,,
,методный,823.75,,методичка,368.59,,метод,206.24,,методика,53.24,,метода,34.72
,чертенок,823.71,,чертить,60.75,,,,,,,,,
,гусеница,823.57,,гусеничный,8.58,,,,,,,,,
,салфетка,823.39,,салфеточка,604.67,,,,,,,,,
,альт,822.80,,альтист,6.68,,альтовый,1.61,,,,,,
,незрелый,822.79,,созреть,64.95,,назреть,43.66,,назревать,27.12,,созревание,26.20
,спецовка,822.66,,спец,39.24,,специфика,17.83,,спецификация,3.47,,,
,блик,822.58,,бликовать,353.01,,,,,,,,,
,штык,822.37,,штыковой,3.76,,,,,,,,,
,кредитка,820.58,,кредит,131.67,,кредитный,109.37,,кредитор,27.23,,кредитование,10.45
,моторист,820.52,,моторчик,817.94,,моторика,413.17,,мотор,189.38,,моторный,38.54
,форточка,820.00,,,,,,,,,,,,
,зонд,819.88,,зондировать,2.25,,зондирование,1.89,,,,,,
,тара,819.72,,,,,,,,,,,,
,запястье,819.60,,,,,,,,,,,,
,белье,819.35,,,,,,,,,,,,
,лепесток,819.00,,,,,,,,,,,,
,киса,818.90,,кисет,714.05,,,,,,,,,
,зыбь,818.87,,зыбка,710.81,,зыбкий,14.65,,зыбиться,5.04,,незыблемый,3.31
,апельсин,818.70,,апельсиновый,206.70,,,,,,,,,
,овал,818.57,,,,,,,,,,,,
,проводок,818.44,,проводиться,43.86,,беспроводной,5.73,,проводящий,4.54,,,
,гардероб,818.43,,гардеробная,504.90,,гардеробщик,255.26,,гардеробщица,202.87,,гардеробный,2.25
,дивный,818.31,,удивиться,162.77,,удивленно,160.93,,удивлять,157.98,,удивить,146.58
,копия,817.95,,,,,,,,,,,,
,коктейль,817.20,,,,,,,,,,,,
,аквариум,817.19,,аквариумный,252.89,,,,,,,,,
,греть,816.96,,нагрев,662.52,,нагреть,569.15,,греться,565.80,,согреть,555.11
,кукуруза,816.82,,кукурузный,308.24,,кукурузник,304.05,,,,,,
,шлепанец,816.81,,шлепок,621.25,,шлепать,528.75,,шлепнуть,418.12,,нашлепка,406.75
,плац,816.80,,,,,,,,,,,,
,пельмень,816.69,,пельменная,303.70,,,,,,,,,
,кейс,816.40,,,,,,,,,,,,
,сарайчик,816.19,,сараюшка,807.39,,сарай,744.70,,сарайный,203.69,,,
,полыхать,815.86,,полыхнуть,710.04,,сполох,612.93,,заполыхать,604.01,,всполох,509.45
,туша,815.59,,тушка,359.50,,,,,,,,,
,цыпленок,815.29,,цыплячий,405.25,,цыпка,353.63,,цыпа,8.29,,,
,реле,815.20,,,,,,,,,,,,
,ясли,815.20,,,,,,,,,,,,
,джин,815.18,,,,,,,,,,,,
,хрящ,815.07,,хрящик,603.93,,хрящевой,3.21,,,,,,
,хохот,814.95,,хохотать,490.12,,хохотнуть,380.82,,захохотать,339.43,,похохатывать,209.93
,щекотать,814.60,,пощекотать,605.24,,защекотать,603.87,,щекотка,509.12,,щекотно,508.74
,старт,814.55,,стартер,519.16,,стартовать,331.41,,стартовый,18.60,,,
,палубный,814.42,,лубочный,808.53,,лубок,718.72,,лубяной,508.06,,опалубка,412.07
,макароны,814.29,,макаронина,303.02,,макаронный,4.87,,,,,,
,разбудить,814.28,,будить,374.51,,возбуждать,178.92,,возбуждение,161.35,,возбудить,53.52
,ласка,814.16,,неласковый,611.91,,ласкать,562.38,,обласкать,373.04,,ласковость,312.63
,кипа,814.00,,,,,,,,,,,,
,бард,813.98,,бардовский,1.82,,,,,,,,,
,монумент,813.78,,,,,,,,,,,,
,ласточка,813.58,,ласточкин,4.20,,,,,,,,,
,кнопочка,813.48,,кнопочный,3.90,,,,,,,,,
,булыжник,813.47,,булыга,608.54,,булыжный,6.97,,,,,,
,картонка,813.43,,картон,628.49,,картонный,369.48,,,,,,
,стрекоза,813.12,,стрекот,508.10,,стрекотать,307.21,,застрекотать,202.90,,стрекач,1.28
,латы,813.09,,латать,607.90,,залатать,406.15,,подлатать,352.78,,лат,5.65
,обувь,813.01,,обуть,742.88,,обутый,622.09,,обувка,618.38,,обувать,514.44
,злак,812.81,,злаковый,2.86,,злачный,2.65,,,,,,
,булькать,812.69,,буль-буль,711.25,,булькнуть,705.10,,забулькать,604.63,,бульканье,356.24
,червячок,812.50,,червь,723.75,,червяк,613.57,,червивый,203.05,,червонный,3.38
,клык,812.39,,клыкастый,176.73,,,,,,,,,
,радиатор,812.20,,,,,,,,,,,,
,цистерна,812.19,,,,,,,,,,,,
,гармошка,812.00,,,,,,,,,,,,
,выкройка,811.83,,покрой,626.50,,кроить,618.41,,скроить,529.57,,раскрой,519.66
,барельеф,811.75,,рельеф,635.81,,рельефный,360.05,,рельефно,1.94,,,
,казак,811.67,,казачка,515.64,,казачок,515.64,,казачий,28.44,,казачество,10.02
,шершавый,811.60,,,,,,,,,,,,
,челн,811.40,,челнок,613.32,,челночный,4.21,,,,,,
,дуда,811.34,,дудка,714.32,,дудеть,607.37,,дудник,605.49,,дудочка,508.19
,колыбель,811.22,,колыбелька,602.51,,колыбельный,254.79,,,,,,
,карусель,811.00,,,,,,,,,,,,
,синагога,811.00,,,,,,,,,,,,
,шкатулка,810.99,,шкатулочка,602.26,,,,,,,,,
,тина,810.40,,,,,,,,,,,,
,карнавал,810.20,,,,,,,,,,,,
,колготки,810.20,,,,,,,,,,,,
,лава,809.80,,,,,,,,,,,,
,колесико,809.40,,,,,,,,,,,,
,тату,809.38,,татуировка,306.67,,татуировать,252.78,,,,,,
,акварель,809.30,,акварельный,253.44,,,,,,,,,
,ажур,809.12,,ажурный,511.68,,,,,,,,,
,монах,809.08,,монашек,512.64,,монахиня,427.69,,монашка,260.64,,монашеский,11.38
,жаба,808.80,,,,,,,,,,,,
,скорлупа,808.69,,скорлупка,704.68,,,,,,,,,
,мушкетер,808.49,,мушкетерский,1.50,,,,,,,,,
,буфетный,808.45,,буфет,19.76,,буфетчица,4.42,,буфетчик,1.13,,,
,паяльник,808.38,,пайка,726.35,,паять,709.96,,спаять,610.46,,впаять,609.86
,саксофон,808.31,,саксофонист,253.00,,,,,,,,,
,ожерелье,808.04,,жерло,704.90,,,,,,,,,
,баклажан,808.00,,,,,,,,,,,,
,маскарад,808.00,,,,,,,,,,,,
,шевелюра,808.00,,,,,,,,,,,,
,щебетать,807.95,,щебет,707.50,,защебетать,602.62,,щебетание,352.79,,,
,капитан,807.94,,капитанский,30.27,,,,,,,,,
,гирлянда,807.80,,,,,,,,,,,,
,жало,807.73,,жалить,305.54,,ужалить,254.16,,жалиться,0.81,,,
,ерик,807.63,,ер,7.12,,,,,,,,,
,портьера,807.60,,,,,,,,,,,,
,крап,807.54,,кропить,504.71,,крапинка,406.31,,крапчатый,353.30,,окропить,4.46
,креветка,807.40,,,,,,,,,,,,
,ость,807.20,,остистый,403.29,,ост,5.48,,,,,,
,мандарин,806.86,,мандариновый,201.63,,,,,,,,,
,мансарда,806.86,,мансардный,302.45,,,,,,,,,
,кокошник,806.35,,кокнуть,126.28,,укокошить,88.56,,кок,19.34,,,
,марь,806.32,,марево,614.23,,,,,,,,,
,строка,806.22,,строчок,515.00,,строчить,434.47,,строчной,413.42,,настрочить,310.06
,брусника,806.12,,брусничный,302.85,,,,,,,,,
,вибратор,806.07,,вибрировать,256.57,,вибрирующий,254.64,,вибрация,16.75,,вибрационный,1.20
,махать,806.00,,махнуть,731.01,,помахать,496.67,,взмахнуть,419.38,,размахивать,318.41
,леса,806.00,,леска,714.85,,,,,,,,,
,драп,805.93,,драпировка,302.98,,драпать,252.19,,драпануть,176.30,,драповый,4.40
,буржуйка,805.82,,буржуйский,0.33,,,,,,,,,
,крысенок,805.82,,крыса,733.90,,крысиный,206.51,,окрыситься,2.67,,,
,харчевня,805.63,,харч,406.76,,,,,,,,,
,болгарка,805.33,,болгарин,8.34,,болгарский,4.19,,,,,,
,поклон,805.22,,отклонение,414.02,,склониться,409.02,,склонность,398.65,,склон,84.49
,наст,805.18,,ненастье,202.34,,ненастный,177.04,,,,,,
,стропило,804.67,,строп,707.88,,стропа,604.59,,стропальщик,251.91,,,
,подойник,804.61,,дойка,709.89,,доярка,618.95,,надоить,505.77,,доить,361.42
,перловка,803.02,,перловый,403.26,,перл,12.33,,,,,,
,воля,802.86,,удовольствие,582.07,,довольный,456.61,,велеть,377.96,,довольно,239.65
,чуланчик,802.79,,чулан,706.37,,,,,,,,,
,спирт,802.06,,спиртное,436.93,,спиртовка,358.39,,заспиртовать,203.91,,спиртной,11.41
,информация,802.03,,информатика,13.06,,информатор,11.35,,,,,,
,гроза,801.65,,грозный,48.74,,угроза,47.45,,погрозить,28.97,,грозить,27.06
,монастырь,801.12,,монастырский,10.68,,,,,,,,,
,толчок,799.60,,толкать,332.94,,подтолкнуть,308.17,,толкнуть,268.99,,оттолкнуть,182.73
,сытый,798.85,,сытный,637.51,,насытить,40.21,,насыщенный,29.75,,насыщать,9.85
,кивок,796.93,,кивать,776.08,,кивнуть,768.00,,закивать,458.14,,покивать,437.47
,сталь,796.05,,стальной,467.70,,,,,,,,,
,сеять,795.75,,посев,782.22,,усеять,653.46,,сеянец,646.66,,посеять,550.51
,струя,794.62,,струйка,541.89,,струиться,377.98,,заструиться,256.71,,,
,пора,794.27,,впору,87.67,,порой,80.45,,порою,56.89,,,
,туман,793.40,,туманный,228.69,,туманность,22.54,,затуманить,8.86,,туманно,8.37
,базар,789.45,,базарчик,407.60,,базарный,9.47,,базарить,5.38,,разбазарить,0.53
,удар,788.62,,ударник,585.05,,ударить,409.50,,ударять,302.66,,удариться,222.38
,вдова,786.64,,вдовец,623.75,,вдовый,615.19,,вдовий,614.32,,овдоветь,413.08
,гладь,784.52,,гладкий,619.50,,гладить,106.83,,погладить,71.17,,поглаживать,14.07
,тесто,784.51,,тест,74.75,,тестовый,6.31,,тестирование,5.18,,тестировать,3.66
,забава,784.49,,добавка,656.51,,добавить,199.27,,забавный,87.76,,добавлять,84.93
,станция,783.10,,подстанция,21.82,,станционный,10.34,,,,,,
,топка,781.71,,натопить,429.67,,истопник,425.08,,растопить,383.03,,топливо,147.24
,мадам,780.85,,,,,,,,,,,,
,пучок,779.62,,пук,462.60,,выпуклый,440.96,,пучина,318.31,,пучить,308.91
,кузов,779.08,,кузовной,9.61,,,,,,,,,
,массив,778.90,,массаж,751.77,,массажист,387.45,,масса,316.87,,массировать,283.71
,гудок,778.20,,гудеть,685.50,,загудеть,432.39,,погудеть,408.23,,прогудеть,364.84
,зажигалка,776.95,,зажечь,772.04,,жечь,500.95,,зажигать,481.55,,жгучий,355.59
,трясти,776.82,,потрясти,560.64,,тряхнуть,478.70,,стряхнуть,406.22,,встряхнуть,345.33
,художник,774.98,,художница,415.11,,художество,26.10,,,,,,
,парад,773.93,,парадное,420.80,,парадный,23.62,,,,,,
,босой,772.68,,босиком,535.50,,босоножка,364.64,,босяк,362.42,,,
,таять,772.24,,тающий,622.80,,оттаять,524.68,,растаять,436.25,,подтаять,414.22
,пятак,772.16,,пятачок,565.51,,пятерня,542.89,,пятерка,105.05,,пятница,71.60
,бетон,771.76,,бетонка,519.29,,бетонный,448.95,,,,,,
,пацан,770.50,,пацанка,507.19,,пацаненок,356.66,,,,,,
,томик,770.12,,том,380.14,,,,,,,,,
,грунт,770.07,,грунтовка,359.17,,грунтовый,17.16,,,,,,
,наспех,768.59,,успех,527.30,,успеть,263.60,,спешка,195.60,,успешный,149.49
,шумок,767.81,,шум,680.15,,бесшумный,393.77,,шуметь,391.71,,шумный,383.26
,ощупь,767.61,,щупать,641.51,,ощупать,530.84,,нащупать,444.09,,пощупать,431.96
,давненько,765.91,,давно,330.75,,недавно,165.39,,давний,99.79,,недавний,73.91
,тихий,764.46,,тишина,550.01,,тихо,489.98,,затихнуть,128.36,,стихнуть,120.02
,погон,764.21,,погончик,405.48,,,,,,,,,
,район,764.12,,микрорайон,359.02,,районный,86.38,,районо,15.11,,межрайонный,10.91
,броня,763.39,,броневик,417.08,,бронь,18.64,,бронный,14.88,,броневой,7.79
,дилер,760.63,,дилерский,5.16,,,,,,,,,
,ферма,760.47,,,,,,,,,,,,
,мебель,760.39,,мебельный,20.10,,мебельщик,18.08,,,,,,
,мобильник,759.23,,мобила,637.62,,мобильный,64.24,,мобильность,8.64,,,
,крик,759.07,,кричать,570.10,,крикнуть,385.39,,закричать,323.96,,вскричать,223.50
,биржа,757.91,,биржевой,8.27,,,,,,,,,
,вахта,757.57,,вахтер,315.06,,вахтерша,206.27,,вахтенный,17.79,,вахтовый,8.87
,хутор,756.52,,хуторок,507.40,,хуторянин,5.18,,хуторской,4.63,,,
,аллея,756.00,,,,,,,,,,,,
,русло,755.65,,русловой,2.54,,,,,,,,,
,стенд,754.41,,стендовый,2.92,,,,,,,,,
,веять,752.90,,повеять,523.37,,развеять,425.92,,развеваться,265.20,,навеять,23.37
,видео,752.24,,,,,,,,,,,,
,клоун,751.87,,клоунский,2.40,,,,,,,,,
,шкала,750.65,,зашкаливать,1.40,,зашкалить,1.21,,,,,,
,виски,749.70,,,,,,,,,,,,
,башка,749.17,,башковитый,2.01,,,,,,,,,
,малое,748.25,,немало,10.34,,,,,,,,,
,кровь,747.77,,кровища,259.83,,кровавый,141.88,,окровавить,83.57,,обескровить,68.63
,арена,747.25,,,,,,,,,,,,
,поцелуй,746.81,,целовать,674.22,,целый,561.02,,поцеловать,484.07,,целоваться,418.89
,пушка,746.66,,пушкарь,509.50,,пушечный,210.48,,,,,,
,президиум,746.38,,,,,,,,,,,,
,манеж,746.33,,манежный,6.16,,,,,,,,,
,платформа,746.20,,,,,,,,,,,,
,брить,746.09,,бритва,630.67,,сбрить,625.35,,бриться,541.87,,выбрить,539.92
,крона,745.50,,,,,,,,,,,,
,пульс,745.40,,пульсировать,208.03,,пульсирующий,205.83,,пульсар,11.59,,пульсация,9.93
,плеск,745.36,,всплеск,556.12,,плеснуть,432.36,,плескать,421.32,,плескаться,327.08
,бугор,745.05,,бугорок,520.50,,бугристый,359.24,,бугриться,355.01,,,
,велосипед,744.74,,велосипедный,208.74,,велосипедист,208.41,,,,,,
,проем,744.45,,,,,,,,,,,,
,пасха,744.01,,пасхальный,6.80,,,,,,,,,
,ролик,743.96,,роликовый,7.90,,,,,,,,,
,афиша,743.74,,афишка,607.99,,афишировать,3.25,,афишный,2.98,,,
,концерт,743.53,,концертный,27.41,,,,,,,,,
,звук,743.28,,звучать,401.84,,прозвучать,147.09,,звуковой,117.84,,звучание,114.13
,нагой,743.05,,донага,613.21,,нагишом,516.33,,обнажить,435.89,,обнажать,427.29
,пашня,743.05,,пахарь,625.12,,пахота,621.56,,вспахать,417.18,,запахнуть,375.82
,груда,742.81,,сгрудиться,308.92,,,,,,,,,
,корма,742.65,,кормило,508.89,,кормчий,8.89,,,,,,
,басня,742.63,,баюкать,516.83,,убаюкать,410.74,,убаюкивать,310.55,,обаяние,27.09
,скула,741.42,,скуластый,360.99,,скуловой,4.66,,,,,,
,сенат,740.81,,сенатор,539.14,,сенатский,5.76,,,,,,
,петля,740.71,,петелька,412.04,,петлять,263.53,,петлица,22.87,,,
,хруст,739.61,,хрустеть,426.40,,хрусткий,407.10,,хрустнуть,365.22,,захрустеть,307.21
,шорох,738.15,,,,,,,,,,,,
,бланк,737.45,,,,,,,,,,,,
,талия,737.10,,,,,,,,,,,,
,ларек,736.75,,,,,,,,,,,,
,холст,736.47,,холстина,406.63,,холщовый,10.82,,,,,,
,эмоция,736.40,,эмоционально,217.61,,,,,,,,,
,хмель,736.34,,хмелек,611.50,,хмелеть,509.59,,захмелеть,363.14,,хмельной,210.02
,лепка,736.12,,лепить,658.45,,слепок,627.39,,вылепить,421.94,,залепить,421.94
,франк,735.70,,,,,,,,,,,,
,незабудка,734.70,,будущее,112.32,,будущий,103.56,,будущность,6.17,,,
,сукно,734.70,,сучить,611.85,,засучить,413.45,,суконный,13.91,,всучить,7.49
,балка,734.65,,,,,,,,,,,,
,шашка,734.46,,шашечка,505.62,,,,,,,,,
,фанат,733.57,,фанатка,507.58,,фанатик,12.57,,фанатизм,2.01,,фанатичный,1.14
,стадо,733.24,,стадный,2.46,,,,,,,,,
,ругать,733.22,,ругань,666.61,,поругаться,625.12,,выругаться,338.87,,ругательство,219.12
,ранка,732.73,,рана,458.55,,ранить,191.93,,раненый,158.68,,ранение,151.23
,эскиз,731.29,,эскизный,5.82,,,,,,,,,
,юркий,731.10,,юркнуть,526.80,,юрист,47.82,,юрский,8.99,,юр,6.74
,русый,730.99,,русак,713.36,,русачок,507.48,,,,,,
,рация,730.80,,,,,,,,,,,,
,тереть,730.79,,стирка,723.75,,стирать,638.06,,стереть,623.82,,вытереть,521.87
,турист,730.14,,туристка,415.84,,тур,95.60,,интурист,16.06,,туристский,13.28
,кишка,729.87,,кишечник,212.21,,кишечный,7.78,,,,,,
,вальс,729.73,,вальсировать,202.30,,,,,,,,,
,мчать,729.70,,мчаться,577.85,,домчать,512.25,,помчать,512.25,,умчаться,426.29
,салют,729.55,,салютовать,303.72,,,,,,,,,
,комар,728.79,,комарик,504.72,,комариный,4.95,,,,,,
,извиняться,728.61,,обвиняемый,123.49,,вино,102.69,,виноватый,85.35,,обвинять,53.91
,лазер,728.59,,лазерный,11.25,,,,,,,,,
,такса,728.49,,таксист,531.99,,таксон,2.49,,таксационный,1.40,,,
,отклик,728.05,,окликать,443.76,,окликнуть,422.12,,восклицать,361.25,,воскликнуть,360.38
,макет,728.00,,,,,,,,,,,,
,сироп,727.63,,сиропчик,404.44,,,,,,,,,
,трогать,727.24,,тронуть,712.20,,потрогать,435.16,,дотронуться,299.00,,тронуться,226.59
,локомотив,726.58,,локомотивный,3.35,,,,,,,,,
,паста,726.35,,архипастырь,2.78,,,,,,,,,
,календарь,726.25,,,,,,,,,,,,
,проектант,726.20,,проект,188.66,,проектный,53.00,,проектор,9.90,,,
,ворох,726.19,,ворошить,410.20,,поворошить,303.00,,разворошить,253.75,,переворошить,202.24
,пудра,726.10,,пудреница,706.40,,пудрить,508.42,,напудрить,355.33,,пудриться,353.55
,символизм,725.97,,символичный,519.59,,символ,47.02,,символика,11.32,,символически,6.51
,бутерброд,725.55,,бутербродик,503.04,,,,,,,,,
,талон,725.30,,талончик,405.86,,,,,,,,,
,жидкий,725.26,,жидкость,498.35,,жижа,432.58,,жидко,19.27,,жиденький,10.22
,фотка,725.05,,фотон,6.80,,фотонный,1.02,,,,,,
,финка,724.99,,финский,23.62,,,,,,,,,
,сизый,724.85,,,,,,,,,,,,
,лучший,724.79,,наилучший,68.40,,улучшение,55.55,,лучше,48.37,,улучшить,46.47
,мигать,724.60,,миг,517.19,,подмигнуть,384.72,,подмигивать,299.36,,миновать,162.68
,тракт,724.15,,,,,,,,,,,,
,шасси,724.15,,,,,,,,,,,,
,лоток,723.96,,лоточник,403.77,,,,,,,,,
,шпиль,723.90,,шпилька,515.44,,пришпилить,305.12,,,,,,
,мираж,723.80,,,,,,,,,,,,
,сопло,723.20,,сопли,367.62,,сопля,366.41,,сопеть,323.56,,засопеть,209.55
,сауна,723.10,,,,,,,,,,,,
,скоба,722.63,,скобка,625.17,,скобочка,404.20,,скобяной,2.10,,,
,шаман,722.36,,шаманка,504.39,,шаманский,2.55,,шаманизм,0.98,,шаманство,0.77
,тамга,721.85,,таможня,55.72,,таможенник,24.99,,таможенный,14.71,,растаможка,3.31
,подъемник,721.58,,подъем,131.33,,подъемный,12.30,,,,,,
,гусар,721.50,,гусарский,3.61,,,,,,,,,
,коран,721.34,,коранический,0.79,,,,,,,,,
,штурмовик,721.17,,штурмовать,316.04,,штурм,16.15,,штурмовой,8.32,,,
,карий,720.44,,,,,,,,,,,,
,бутик,720.30,,,,,,,,,,,,
,конус,720.14,,конусный,4.07,,,,,,,,,
,булат,719.95,,,,,,,,,,,,
,гулко,719.95,,,,,,,,,,,,
,праздник,719.71,,праздновать,314.81,,празднество,282.81,,упражнение,110.22,,праздничный,96.46
