S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS,S,Lemma,RS
,ключ,2653.14,,включать,517.72,,включить,499.19,,приключение,423.19,,включение,241.90
,ряд,2652.09,,отряд,1608.82,,наряд,1290.44,,снаряд,884.79,,порядок,837.51
,театр,2617.43,,театрик,1041.64,,театрал,564.89,,театральный,193.71,,театрально,9.44
,еще,2614.39,,,,,,,,,,,,
,нести,2607.70,,носить,1598.83,,принести,1582.47,,вынести,1388.72,,отнести,1314.60
,дорога,2597.31,,дорогой,450.57,,дорожка,390.37,,дорожный,68.91,,придорожный,67.22
,смотреть,2582.86,,посмотреть,1423.47,,осмотреть,346.04,,несмотря,253.44,,рассмотреть,211.10
,душа,2568.92,,духи,2242.23,,воздух,2014.09,,дух,1895.60,,воздушный,461.27
,любовь,2566.07,,любить,2450.31,,любимый,998.91,,влюбиться,626.30,,любитель,424.03
,брат,2559.08,,браток,1305.90,,братва,714.01,,братишка,463.86,,собрат,137.34
,нос,2553.31,,носик,1520.80,,носок,949.65,,подносик,422.01,,переносье,369.26
,игра,2528.08,,играть,2241.21,,игрушка,1425.60,,игрок,1398.78,,сыграть,1188.21
,путь,2516.35,,путник,1347.64,,спутник,820.53,,путешествие,434.77,,попутчик,114.86
,уже,2512.11,,уж,554.56,,ужо,28.22,,,,,,
,поле,2506.64,,поляна,1424.83,,полянка,1098.09,,поляк,941.50,,полевой,700.67
,орган,2499.02,,организм,943.46,,организация,334.35,,организатор,211.67,,организовать,122.10
,высокий,2498.84,,высота,1701.38,,высший,663.22,,высоко,488.85,,невысокий,311.80
,море,2496.02,,моряк,1699.01,,морской,905.19,,помор,755.53,,морячок,561.12
,чай,2488.68,,отчаянный,61.33,,отчаянно,30.17,,чаять,23.54,,отчаяние,22.85
,рынок,2469.19,,рыночный,120.12,,рыночник,11.48,,нерыночный,4.17,,,
,небо,2446.63,,небосвод,843.71,,небесный,579.42,,небожитель,331.95,,поднебесье,328.39
,песня,2435.95,,петь,1919.71,,певец,1836.32,,петух,1727.49,,певица,1485.06
,стена,2434.31,,стенка,1591.51,,стеночка,838.37,,простенок,390.49,,застенок,115.84
,поток,2427.84,,течение,1567.26,,восток,1447.65,,источник,1109.37,,течь,770.26
,конец,2423.49,,закон,2002.63,,кончик,1333.79,,конечно,874.08,,наконец,560.22
,рот,2409.25,,ротовой,30.71,,артачиться,5.56,,заартачиться,5.56,,,
,чай,2385.85,,чаинка,1226.72,,чаек,902.03,,чайничек,815.93,,чайник,775.24
,пить,2376.81,,выпить,2150.95,,пьяный,1246.29,,выпивка,1233.73,,пиво,831.94
,скорый,2347.13,,вскоре,2012.99,,скорость,928.83,,скоростной,708.69,,ускорение,499.63
,говорить,2336.59,,разговор,1860.93,,договор,916.48,,поговорить,763.58,,заговорить,634.41
,село,2336.21,,поселок,1454.85,,селение,676.64,,вселенная,598.39,,поселение,500.23
,счастье,2331.11,,часть,1845.66,,участок,1808.61,,участник,1046.89,,счастливый,1007.85
,гость,2327.08,,гостить,1115.87,,гостиница,977.18,,угощение,890.31,,гостинец,871.40
,спросить,2311.10,,вопрос,2053.88,,спрашивать,1044.25,,просить,885.94,,опрос,823.62
,дно,2291.43,,поддон,1254.68,,донышко,1057.64,,днище,795.69,,бездонный,407.50
,красный,2288.25,,краска,1953.26,,красота,1308.39,,красивый,1284.64,,красавица,1057.04
,гора,2281.88,,горка,1624.14,,горняк,1276.73,,горница,1092.15,,горный,950.65
,сын,2274.20,,сынок,966.31,,сынуля,648.53,,сыночек,600.09,,сынишка,572.91
,плечо,2269.88,,плечико,1063.90,,плечики,1047.82,,плечевой,466.26,,предплечье,352.00
,деньги,2248.52,,деньга,676.38,,денежки,655.91,,денежка,583.65,,деньжата,465.14
,нож,2231.57,,ножик,1485.29,,ножницы,1086.66,,ножны,779.12,,вонзиться,731.19
,река,2217.97,,речка,1650.88,,речушка,1060.37,,речной,752.59,,заречье,528.23
,шея,2217.89,,ошейник,1046.35,,шейка,783.28,,перешеек,424.63,,взашей,311.68
,бежать,2217.01,,бегать,1252.99,,избегать,664.78,,неизбежный,260.66,,убежать,185.44
,снег,2215.47,,снежок,1291.32,,снегирь,1036.06,,снежинка,855.69,,снежный,673.26
,полет,2211.05,,лететь,1976.19,,налет,1782.62,,летать,1781.95,,летчик,1131.02
,губа,2202.20,,губка,814.06,,губной,665.42,,губастый,422.52,,губчатый,421.07
,лоб,2199.01,,лобок,744.25,,лобик,736.69,,лобастый,424.48,,лобовой,29.30
,палец,2191.65,,пальчик,1123.20,,пальцевой,16.91,,,,,,
,рубль,2176.73,,рубаха,1538.52,,рубашка,1415.09,,рубка,1037.70,,рубить,744.26
,мальчик,2166.77,,малыш,2093.64,,маленький,1212.15,,мальчишка,1145.76,,малый,730.03
,земля,2157.95,,наземный,999.19,,подземелье,712.38,,земский,687.30,,подземный,632.12
,печь,2156.58,,печка,1843.21,,пещера,1529.40,,печень,1519.52,,обеспечить,84.95
,сцена,2156.29,,сценка,1311.05,,сценарий,115.01,,инсценировка,114.74,,сценарист,70.73
,зима,2136.95,,зимний,871.56,,озимые,630.30,,зимовка,558.31,,зимовье,539.92
,хозяин,2122.12,,хозяйка,1433.13,,хозяйство,464.47,,хозяйский,107.39,,по-хозяйски,25.90
,лет,2119.35,,лето,1859.00,,лета,1777.67,,летник,1261.14,,летний,1259.93
,создать,2116.70,,создавать,532.47,,здание,486.98,,создание,408.94,,создатель,117.17
,расти,2114.69,,растение,1500.28,,вырасти,1332.09,,рост,1015.21,,подросток,725.23
,кот,2112.02,,кошка,1671.40,,котик,1469.45,,котяра,1225.38,,котенок,1103.98
,лев,2108.73,,львица,314.63,,львиный,276.63,,львенок,262.65,,,
,рыба,2105.63,,рыбка,1587.83,,рыбина,1278.66,,рыбалка,1103.92,,рыбешка,1051.68
,луч,2091.14,,лучик,1448.70,,лучина,1240.74,,излучать,450.81,,лучистый,429.12
,спина,2088.27,,спинка,807.26,,спинной,66.99,,спин,11.26,,спиновый,5.63
,этаж,2086.10,,этажерка,837.92,,этажный,24.17,,этажность,4.39,,,
,берег,2082.09,,бережок,1048.02,,побережье,801.89,,набережная,720.32,,береговой,425.63
,хлеб,2068.81,,хлебец,1242.92,,хлебушек,830.35,,хлебница,815.99,,хлебный,587.14
,шар,2057.79,,шарик,1532.21,,шаровой,36.89,,шариковый,23.98,,,
,основа,2013.99,,основание,683.89,,основатель,461.81,,основать,442.93,,основной,283.42
,сок,2013.71,,сочный,673.01,,сочиться,435.85,,сочность,13.28,,сочельник,12.42
,цепь,2010.90,,цепочка,1183.17,,зацепить,479.44,,зацепиться,366.87,,вцепиться,224.79
,лом,2010.56,,обломок,572.71,,ломать,212.82,,разлом,179.46,,сломать,179.36
,время,2002.58,,современный,489.55,,современник,347.26,,вовремя,197.43,,временной,160.05
,назад,2000.03,,сзади,1214.89,,взад,932.16,,кзади,810.49,,зад,668.66
,огонь,1998.70,,огонек,1431.70,,огниво,627.45,,огненный,513.18,,огневой,64.95
,мел,1992.07,,мельница,897.19,,молоть,686.54,,отмель,684.17,,измельчить,342.68
,школа,1990.17,,вышколить,375.66,,дошкольник,372.28,,школьный,354.90,,школьник,108.94
,кол,1987.72,,колоть,1318.85,,осколок,573.74,,колючка,538.98,,укол,501.17
,храм,1981.57,,хоромы,1245.68,,,,,,,,,
,сыр,1977.96,,сырок,1440.87,,сырой,433.22,,сырость,15.43,,сырьевой,14.92
,яр,1973.77,,яркий,1188.08,,ярко,302.96,,яркость,43.69,,ярый,36.97
,шаг,1969.77,,шагать,840.62,,шажок,800.95,,шагнуть,693.03,,перешагнуть,549.26
,ус,1969.40,,усик,1674.52,,усач,824.84,,усатый,659.64,,безусый,18.20
,лук,1960.02,,лучок,1420.99,,лучник,1220.40,,лукошко,1016.03,,излучина,419.24
,мех,1960.00,,мешок,1668.75,,мешочек,1064.98,,мешковина,186.53,,меховой,35.38
,мясо,1958.82,,мясцо,1423.50,,мясной,752.41,,мясистый,442.99,,мясник,328.04
,ветер,1957.75,,ветерок,1116.51,,ветряной,435.08,,безветренный,215.34,,ветровой,45.02
,волос,1957.46,,волосок,1103.61,,волосик,1038.13,,волосатый,205.52,,волосяной,29.61
,рог,1956.15,,рожок,1456.94,,рогатка,1031.19,,рогалик,1012.74,,отрог,730.88
,стул,1955.96,,стульчик,831.82,,,,,,,,,
,газета,1954.32,,газетка,1070.65,,газетчик,461.05,,газетенка,363.54,,газетный,141.49
,пол,1952.61,,полочка,1105.32,,половик,1054.85,,половица,863.96,,напольный,395.02
,меч,1950.75,,,,,,,,,,,,
,слой,1944.70,,слойка,629.35,,слоеный,528.94,,отслаиваться,206.92,,расслоение,23.66
,пес,1942.58,,песик,1423.68,,песий,15.50,,,,,,
,вещь,1937.70,,вещица,703.96,,вещичка,573.63,,вещество,304.10,,вещевой,38.20
,край,1936.47,,краешек,635.88,,бескрайний,369.10,,окраина,367.95,,крайний,256.63
,дуб,1936.38,,дубок,1423.85,,дубрава,1024.09,,дубленка,830.48,,дубовый,557.91
,мост,1935.24,,мостик,1307.70,,помост,1262.18,,мосток,1243.97,,мостки,1242.85
,мяч,1934.82,,мячик,1456.26,,,,,,,,,
,пух,1931.33,,пушок,1453.94,,опушка,1274.35,,пухлый,686.71,,пуховый,541.72
,еж,1931.12,,ежик,1739.86,,ежевика,1039.45,,ежиться,271.03,,поежиться,193.15
,грудь,1930.47,,грудка,1273.23,,грудинка,819.93,,грудничок,714.24,,грудина,533.73
,лук,1929.37,,луковка,1012.12,,луковица,827.43,,луковый,17.75,,луковичный,3.89
,суп,1926.39,,супчик,1218.42,,суповой,509.52,,,,,,
,мыть,1924.35,,мыло,1846.24,,вымыть,1367.16,,смыть,840.91,,мойка,828.45
,бык,1921.06,,бычок,1448.54,,набычиться,154.69,,бычий,33.44,,,
,фото,1917.20,,фотография,806.67,,фотомодель,323.90,,фотоателье,317.54,,фотопортрет,266.57
,речь,1912.69,,урок,1864.93,,пророк,1033.63,,срок,463.13,,срочный,87.12
,взгляд,1910.96,,глядеть,1749.36,,глянуть,1038.31,,взглянуть,877.11,,заглянуть,792.40
,ящик,1908.33,,ящичек,12.28,,,,,,,,,
,ель,1906.48,,елка,1734.76,,ельник,1234.51,,елец,828.54,,еловый,51.10
,луг,1901.89,,лужок,1421.42,,лужайка,1034.73,,луговой,520.35,,луговина,408.98
,цвет,1901.60,,цветок,1820.91,,цветочек,929.90,,цвести,869.44,,цветной,831.38
,слышать,1894.43,,слушать,1848.48,,услышать,1282.85,,слух,1220.98,,послушать,776.96
,запад,1894.23,,попасть,1272.07,,упасть,858.87,,падать,798.10,,пасть,632.51
,куст,1893.66,,кустик,1263.11,,куща,850.49,,кустарник,763.97,,кустистый,366.46
,соль,1891.94,,солить,1250.55,,соленый,1114.81,,сольный,1063.69,,насолить,827.52
,судья,1890.87,,суд,1597.74,,судьба,808.68,,судебный,413.94,,судить,298.79
,шок,1889.58,,шокировать,4.96,,шоковый,4.88,,,,,,
,конь,1889.06,,конюшня,1085.87,,конница,1039.23,,конек,822.81,,конюх,756.05
,дерево,1883.42,,деревце,1096.15,,древо,835.98,,древко,663.84,,деревянный,526.61
,роза,1882.00,,розочка,1069.82,,розетка,1062.09,,розарий,1024.12,,розовый,689.38
,бак,1881.27,,бачок,1431.71,,бачки,711.50,,,,,,
,душ,1879.73,,душевая,1014.39,,душевой,14.39,,,,,,
,мышь,1877.63,,мышка,1625.56,,мышонок,1041.34,,мыш,953.85,,мышца,942.60
,труба,1876.54,,трубка,1654.61,,трубочка,886.06,,трубач,666.86,,трубить,569.27
,спать,1876.50,,заснуть,1307.44,,спальня,1289.86,,уснуть,948.49,,поспать,673.88
,кофе,1875.66,,кофей,1421.73,,кофий,1421.73,,кофеек,1231.17,,кофейня,1035.40
,таз,1871.42,,тазик,1426.72,,тазовый,11.87,,,,,,
,плод,1870.81,,плодить,33.85,,плодиться,24.31,,плодовый,16.44,,плодоносить,15.53
,люк,1869.29,,лючок,1408.74,,,,,,,,,
,порт,1865.59,,портовый,48.13,,экспортный,14.90,,,,,,
,жук,1862.33,,жучок,1427.26,,жучка,714.17,,,,,,
,мох,1861.96,,моховой,513.16,,мохнатый,425.94,,мохнач,304.90,,замшелый,206.85
,зал,1860.20,,зала,923.22,,зальце,631.51,,зальчик,538.95,,,
,девушка,1859.31,,девочка,1800.50,,девица,1605.60,,дева,1171.82,,девчата,1132.87
,журнал,1856.05,,журнальчик,632.60,,журналист,296.13,,журнальный,69.15,,журналистка,52.61
,кухня,1853.52,,кухонька,831.73,,кухарка,553.70,,кухонный,490.36,,,
,кит,1851.20,,китовый,10.29,,,,,,,,,
,случай,1851.16,,получить,1093.99,,получать,635.51,,заполучить,455.38,,получиться,212.26
,мак,1847.65,,макушка,531.11,,маковка,513.34,,маковый,506.67,,маков,6.60
,узел,1844.69,,узелок,1266.07,,узник,195.17,,узловатый,184.71,,узилище,128.88
,молодой,1844.34,,младенец,1061.23,,молодежь,824.10,,молодняк,497.68,,молодец,419.23
,боб,1841.73,,бобина,607.35,,бобовый,507.07,,,,,,
,рой,1840.14,,роиться,519.31,,ринуться,32.02,,реять,20.15,,рьяный,7.72
,рамка,1839.39,,рама,1819.85,,рамочка,1038.91,,обрамить,434.60,,обрамлять,378.03
,семья,1838.29,,семьянин,449.47,,семейный,327.92,,семейка,280.92,,семейство,187.75
,ива,1836.13,,ивняк,712.93,,ивовый,12.50,,,,,,
,лис,1832.85,,лиса,1653.42,,лисица,1222.73,,лисичка,1015.60,,лисенок,1014.32
,кусок,1832.14,,кусочек,1210.45,,закусить,488.66,,откусить,457.06,,кусать,361.61
,рис,1827.18,,рисовый,511.53,,,,,,,,,
,боец,1826.82,,бить,1626.32,,бой,1419.81,,забить,1190.51,,битва,1032.98
,куб,1825.65,,,,,,,,,,,,
,фея,1824.30,,,,,,,,,,,,
,сом,1824.23,,сомик,1407.00,,сома,7.75,,,,,,
,чум,1824.02,,чума,11.75,,очуметь,5.73,,чумовой,3.42,,чумной,1.45
,трава,1823.55,,травка,1313.70,,травинка,852.67,,отравиться,638.06,,отрава,319.03
,самец,1823.54,,самка,1794.06,,самочка,1045.27,,самолетик,748.40,,самость,14.61
,чан,1822.95,,,,,,,,,,,,
,луна,1822.57,,лунный,698.66,,лунатик,261.26,,подлунный,5.09,,безлунный,4.55
,банка,1819.37,,банк,1713.75,,баночка,1114.83,,госбанк,550.63,,баночный,428.64
,чуб,1818.55,,чубик,1407.00,,чубатый,505.00,,,,,,
,фен,1816.10,,феня,5.31,,,,,,,,,
,вновь,1814.86,,новый,1386.90,,новейший,804.26,,снова,726.85,,заново,680.02
,вол,1814.58,,воловий,503.31,,,,,,,,,
,солнце,1807.84,,солнышко,932.27,,подсолнух,742.74,,солнечный,554.96,,подсолнечник,418.65
,шкаф,1803.92,,шкафчик,1042.18,,,,,,,,,
,руль,1801.66,,рулить,638.46,,вырулить,418.13,,порулить,413.71,,подрулить,361.99
,внук,1794.89,,внучка,1295.28,,внучек,1224.67,,внучок,1214.88,,внучонок,812.15
,лапа,1793.92,,лапка,1486.85,,лапища,1219.31,,лапник,626.32,,лапонька,410.88
,яйцо,1793.81,,яичница,1041.42,,яичко,762.73,,яичник,629.00,,яичный,42.89
,птица,1791.64,,птаха,1452.53,,птичка,1323.55,,птенец,1274.06,,птичник,1025.74
,держать,1788.77,,держаться,598.20,,выдержать,521.64,,держава,442.83,,удержать,355.03
,шить,1783.34,,шов,1116.94,,подошва,1094.58,,сшить,845.16,,шитье,779.20
,весна,1778.07,,весенний,518.13,,веснушка,444.65,,вешний,33.91,,веснушчатый,21.89
,пояс,1777.85,,поясок,1231.65,,поясница,430.54,,подпоясать,313.37,,опоясать,17.23
,баня,1776.20,,банька,1240.97,,предбанник,619.05,,банщик,617.82,,банный,22.08
,дуть,1775.63,,подуть,1257.49,,дунуть,1253.35,,дуло,844.25,,сдуть,766.13
,гриб,1774.52,,грибочек,815.45,,грибок,636.63,,грибник,520.85,,грибница,411.80
,цирк,1770.16,,циркач,620.68,,цирковой,39.95,,,,,,
,сон,1769.68,,сонный,390.25,,сниться,200.90,,присниться,87.46,,спросонья,19.35
,перо,1765.63,,перина,1232.76,,перышко,1032.02,,оперение,419.44,,перистый,416.08
,бумага,1765.55,,бумажка,1232.14,,бумажник,881.61,,бумажный,541.36,,бумажонка,358.36
,кора,1763.34,,корка,1499.44,,корица,1239.96,,корыто,635.74,,коряга,620.95
,корм,1762.81,,кормилец,842.34,,кормить,710.08,,кормушка,444.22,,накормить,423.53
,крест,1762.22,,перекресток,563.06,,крещение,487.16,,крестить,470.27,,скрестить,413.80
,изба,1752.97,,избушка,1048.30,,избенка,1013.78,,избяной,5.21,,,
,кафе,1751.76,,,,,,,,,,,,
,вилка,1751.26,,вихрь,1673.50,,прививка,547.16,,развитие,242.15,,развитой,149.49
,щель,1747.58,,ущелье,1268.60,,щелочка,1025.45,,щелка,735.63,,расщелина,715.66
,холм,1741.37,,холмик,1238.00,,холмистый,12.33,,,,,,
,лифт,1737.74,,лифтер,618.15,,лифтовой,416.23,,лифтерша,410.82,,лифтинг,11.72
,замок,1737.24,,замкнуть,468.13,,примыкать,61.92,,замыкать,51.25,,примкнуть,48.84
,нить,1736.86,,нитка,1511.81,,ниточка,1054.28,,ниточный,4.55,,,
,плот,1734.77,,плотина,1074.15,,плести,689.70,,плотник,579.91,,переплет,463.93
,чаша,1734.54,,чашка,1557.10,,чашечка,1055.00,,,,,,
